buyer_id,signup_date,region,acquisition_channel,customer_type,loyalty_tier
B000058,2025-07-09,South,social,consumer,Silver
B000059,2025-05-15,Midwest,affiliate,consumer,Bronze
B000060,2025-12-19,South,referral,small_business,Bronze
B000061,2025-07-10,South,direct,small_business,Bronze
B000062,2024-08-01,South,organic,consumer,Bronze
B000063,2026-01-29,Northeast,organic,consumer,Bronze
B000064,2024-09-10,Midwest,email,consumer,Silver
B000065,2024-06-25,South,organic,consumer,Bronze
B000066,2025-12-04,Midwest,referral,consumer,Silver
B000067,2024-08-04,South,affiliate,consumer,Bronze
B000068,2023-11-11,Central,social,consumer,Bronze
B000069,2024-11-02,Midwest,referral,consumer,Bronze
B000070,2025-08-26,Central,email,consumer,Bronze
B000071,2024-02-22,Northeast,organic,consumer,Silver
B000072,2024-10-27,Midwest,affiliate,consumer,Silver
B000073,2023-12-30,West,referral,consumer,Platinum
B000074,2025-05-19,South,paid_search,consumer,Bronze
B000075,2024-11-08,Northeast,direct,consumer,Bronze
B000076,2024-06-29,South,social,consumer,Gold
B000077,2024-03-27,South,organic,consumer,Silver
B000078,2025-01-28,South,direct,small_business,Bronze
B000079,2025-05-03,South,email,consumer,Bronze
B000080,2026-01-04,South,organic,consumer,Silver
B000081,2024-10-04,Midwest,referral,consumer,Bronze
B000082,2024-01-27,Northeast,organic,consumer,Silver
B000083,2025-09-28,South,organic,consumer,Bronze
B000084,2025-03-28,West,paid_search,consumer,Platinum
B000085,2025-05-31,Northeast,direct,consumer,Silver
B000086,2023-11-30,South,organic,small_business,Silver
B000087,2024-06-12,Northeast,organic,small_business,Bronze
B000088,2025-07-31,Northeast,referral,consumer,Silver
B000089,2025-09-28,South,paid_search,consumer,Gold
B000090,2024-10-02,Northeast,organic,enthusiast,Bronze
B000091,2025-09-03,South,organic,consumer,Silver
B000092,2025-10-07,Central,referral,enthusiast,Bronze
B000093,2024-08-20,Central,affiliate,small_business,Silver
B000094,2025-11-27,South,referral,consumer,Gold
B000095,2024-05-22,South,organic,consumer,Silver
B000096,2024-04-07,South,social,consumer,Silver
B000097,2025-05-15,West,referral,small_business,Bronze
B000098,2025-04-03,West,paid_search,consumer,Gold
B000099,2024-01-08,Northeast,organic,consumer,Silver
B000100,2025-09-28,Northeast,paid_search,consumer,Bronze
B000101,2024-03-02,South,paid_search,small_business,Gold
B000102,2025-09-03,West,organic,consumer,Bronze
B000103,2023-09-09,Central,email,consumer,Bronze
B000104,2025-08-27,Northeast,social,consumer,Gold
B000105,2025-08-18,Midwest,social,consumer,Bronze
B000106,2025-08-12,Northeast,organic,small_business,Bronze
B000107,2025-04-29,West,affiliate,consumer,Bronze
B000108,2024-11-04,Central,social,consumer,Gold
B000109,2025-06-04,South,direct,small_business,Bronze
B000110,2024-05-11,Northeast,paid_search,consumer,Bronze
B000111,2025-08-12,Midwest,referral,consumer,Bronze
B000112,2025-01-20,South,paid_search,enthusiast,Bronze
B000113,2024-10-24,West,social,consumer,Bronze
B000114,2024-12-05,South,direct,small_business,Gold
B000115,2025-01-31,West,affiliate,consumer,Gold
B000116,2023-10-06,South,referral,consumer,Gold
B000117,2024-01-08,Northeast,direct,consumer,Silver
B000118,2024-04-13,South,direct,consumer,Bronze
B000119,2023-12-16,Northeast,organic,consumer,Bronze
B000120,2024-10-06,South,organic,consumer,Silver
B000121,2025-05-02,Midwest,social,consumer,Bronze
B000122,2025-04-19,Northeast,email,consumer,Silver
B000123,2024-11-04,Northeast,social,consumer,Bronze
B000124,2025-10-19,Northeast,paid_search,consumer,Silver
B000125,2025-01-28,Northeast,social,consumer,Bronze
B000126,2023-11-13,West,organic,consumer,Silver
B000127,2025-07-29,Central,organic,consumer,Platinum
B000128,2025-02-06,Northeast,organic,consumer,Bronze
B000129,2025-04-01,West,organic,consumer,Bronze
B000130,2025-01-28,West,referral,consumer,Bronze
B000131,2025-01-18,Central,paid_search,consumer,Bronze
B000132,2023-11-24,South,organic,enthusiast,Silver
B000133,2025-01-23,South,social,consumer,Platinum
B000134,2025-08-25,South,paid_search,enthusiast,Gold
B000135,2024-06-05,West,paid_search,consumer,Silver
B000136,2025-03-03,West,paid_search,consumer,Silver
B000137,2023-10-01,South,organic,consumer,Bronze
B000138,2024-07-14,South,affiliate,consumer,Gold
B000139,2024-10-03,West,organic,consumer,Silver
B000140,2026-02-12,West,organic,consumer,Bronze
B000141,2024-03-16,South,organic,consumer,Platinum
B000142,2024-05-11,Midwest,paid_search,consumer,Silver
B000143,2024-09-08,South,organic,consumer,Bronze
B000144,2026-02-21,South,paid_search,consumer,Silver
B000145,2025-10-17,Midwest,organic,consumer,Bronze
B000146,2023-10-04,West,organic,enthusiast,Bronze
B000147,2024-04-02,Central,direct,consumer,Bronze
B000148,2025-09-18,South,paid_search,consumer,Silver
B000149,2023-10-25,South,organic,consumer,Bronze
B000150,2025-10-19,South,social,consumer,Bronze
B000151,2024-05-15,Northeast,organic,consumer,Bronze
B000152,2025-12-15,South,referral,enthusiast,Bronze
B000153,2024-05-26,Northeast,organic,consumer,Silver
B000154,2024-10-01,South,social,consumer,Bronze
B000155,2025-04-26,Northeast,email,consumer,Bronze
B000156,2023-12-26,South,organic,consumer,Bronze
B000157,2025-01-21,West,organic,consumer,Bronze
B000158,2024-12-05,South,social,enthusiast,Silver
B000159,2025-08-15,Midwest,email,consumer,Gold
B000160,2026-02-24,Central,paid_search,consumer,Bronze
B000161,2025-04-28,Midwest,affiliate,consumer,Bronze
B000162,2024-09-08,Northeast,organic,consumer,Bronze
B000163,2024-09-06,South,affiliate,consumer,Silver
B000164,2024-09-16,Midwest,paid_search,consumer,Bronze
B000165,2025-09-11,Midwest,affiliate,consumer,Silver
B000166,2024-06-20,Northeast,organic,consumer,Silver
B000167,2024-02-01,South,social,consumer,Bronze
B000168,2024-07-02,Midwest,organic,consumer,Bronze
B000169,2023-09-23,South,affiliate,consumer,Platinum
B000170,2023-12-08,Midwest,referral,consumer,Bronze
B000171,2023-11-23,Northeast,direct,enthusiast,Silver
B000172,2025-08-04,South,email,consumer,Silver
B000173,2025-06-20,West,social,consumer,Bronze
B000174,2025-05-28,South,affiliate,enthusiast,Gold
B000175,2024-10-26,Midwest,organic,consumer,Bronze
B000176,2025-06-15,South,direct,consumer,Bronze
B000177,2024-01-27,South,affiliate,consumer,Silver
B000178,2025-11-29,Central,paid_search,small_business,Gold
B000179,2024-12-01,South,paid_search,consumer,Bronze
B000180,2026-01-02,South,referral,consumer,Silver
B000181,2024-01-19,Central,direct,enthusiast,Bronze
B000182,2024-11-28,West,referral,consumer,Silver
B000183,2025-05-27,West,social,consumer,Bronze
B000184,2024-11-26,Northeast,paid_search,consumer,Bronze
B000185,2024-10-12,Northeast,email,consumer,Platinum
B000186,2024-02-01,Midwest,affiliate,consumer,Silver
B000187,2024-08-14,Northeast,social,consumer,Bronze
B000188,2024-04-07,South,social,consumer,Platinum
B000189,2024-06-03,West,affiliate,enthusiast,Bronze
B000190,2025-05-16,South,referral,small_business,Silver
B000191,2025-03-28,Northeast,social,enthusiast,Silver
B000192,2025-03-07,Northeast,direct,consumer,Gold
B000193,2024-07-27,South,direct,consumer,Bronze
B000194,2026-01-22,Midwest,paid_search,consumer,Silver
B000195,2023-11-21,West,organic,consumer,Silver
B000196,2024-07-10,Northeast,social,consumer,Bronze
B000197,2023-12-19,Northeast,affiliate,small_business,Gold
B000198,2024-07-07,Midwest,social,consumer,Bronze
B000199,2026-01-24,South,direct,consumer,Bronze
B000200,2024-07-31,South,organic,consumer,Silver
B000201,2025-12-06,Central,paid_search,consumer,Bronze
B000202,2024-11-26,Midwest,direct,consumer,Gold
B000203,2025-05-31,South,direct,consumer,Bronze
B000204,2024-10-22,Central,paid_search,enthusiast,Bronze
B000205,2024-05-01,Northeast,organic,consumer,Silver
B000206,2025-07-28,Central,paid_search,consumer,Gold
B000207,2026-01-30,Midwest,social,consumer,Silver
B000208,2024-04-29,Midwest,social,enthusiast,Bronze
B000209,2025-08-10,Central,paid_search,small_business,Bronze
B000210,2024-04-27,Midwest,paid_search,consumer,Silver
B000211,2025-06-15,South,affiliate,consumer,Gold
B000212,2025-08-20,South,affiliate,consumer,Silver
B000213,2024-10-15,Midwest,affiliate,small_business,Silver
B000214,2025-07-03,Midwest,paid_search,enthusiast,Bronze
B000215,2024-05-07,South,paid_search,consumer,Silver
B000216,2023-11-14,West,paid_search,consumer,Bronze
B000217,2023-11-29,Midwest,email,consumer,Bronze
B000218,2024-10-13,South,paid_search,consumer,Bronze
B000219,2025-12-01,Northeast,social,consumer,Silver
B000220,2023-12-27,South,social,consumer,Silver
B000221,2024-10-21,Northeast,direct,consumer,Bronze
B000222,2025-06-03,Northeast,paid_search,consumer,Gold
B000223,2024-03-04,South,paid_search,consumer,Bronze
B000224,2025-06-19,Northeast,direct,consumer,Silver
B000225,2024-06-07,South,organic,consumer,Gold
B000226,2025-09-07,Midwest,social,consumer,Gold
B000227,2025-02-10,South,paid_search,consumer,Gold
B000228,2025-01-12,Central,email,consumer,Gold
B000229,2024-02-10,Central,referral,enthusiast,Bronze
B000230,2024-10-28,Midwest,organic,consumer,Silver
B000231,2025-10-20,Central,direct,consumer,Gold
B000232,2023-09-20,West,referral,consumer,Bronze
B000233,2025-07-23,South,social,consumer,Silver
B000234,2024-11-23,West,organic,consumer,Bronze
B000235,2025-06-17,Northeast,organic,consumer,Silver
B000236,2025-04-27,West,affiliate,consumer,Bronze
B000237,2024-09-29,Midwest,paid_search,consumer,Silver
B000238,2024-06-09,Northeast,direct,enthusiast,Bronze
B000239,2025-03-26,South,paid_search,consumer,Bronze
B000240,2024-01-08,Central,affiliate,consumer,Bronze
B000241,2025-02-14,South,organic,consumer,Silver
B000242,2023-11-28,Northeast,affiliate,consumer,Gold
B000243,2025-04-15,Northeast,organic,enthusiast,Bronze
B000244,2025-03-27,South,paid_search,consumer,Bronze
B000245,2023-11-18,West,organic,consumer,Silver
B000246,2025-07-22,West,social,consumer,Silver
B000247,2024-09-14,South,paid_search,consumer,Bronze
B000248,2025-08-18,Northeast,referral,consumer,Silver
B000249,2023-10-10,Northeast,organic,consumer,Gold
B000250,2024-02-13,South,social,enthusiast,Bronze
B000251,2024-11-25,West,social,consumer,Silver
B000252,2024-02-21,West,organic,consumer,Bronze
B000253,2024-06-28,South,organic,enthusiast,Platinum
B000254,2025-04-25,Midwest,paid_search,enthusiast,Gold
B000255,2024-01-12,South,social,consumer,Silver
B000256,2025-05-11,Midwest,email,consumer,Platinum
B000257,2023-12-05,Midwest,organic,enthusiast,Bronze
B000258,2024-02-09,West,referral,consumer,Silver
B000259,2025-02-18,Midwest,referral,consumer,Gold
B000260,2025-08-24,Central,affiliate,consumer,Gold
B000261,2024-02-05,South,social,enthusiast,Silver
B000262,2024-06-01,Northeast,email,consumer,Bronze
B000263,2025-12-21,South,social,consumer,Bronze
B000264,2026-02-18,Midwest,direct,consumer,Bronze
B000265,2025-02-12,Midwest,paid_search,consumer,Gold
B000266,2024-10-13,Midwest,referral,consumer,Bronze
B000267,2024-07-14,West,email,consumer,Silver
B000268,2025-03-12,South,direct,consumer,Bronze
B000269,2025-02-21,Midwest,paid_search,consumer,Silver
B000270,2024-05-27,West,direct,enthusiast,Bronze
B000271,2023-09-23,South,organic,consumer,Silver
B000272,2024-01-18,South,affiliate,consumer,Bronze
B000273,2026-01-21,Northeast,paid_search,consumer,Bronze
B000274,2024-09-17,South,affiliate,consumer,Bronze
B000275,2024-11-14,West,paid_search,consumer,Platinum
B000276,2024-10-31,Central,organic,consumer,Silver
B000277,2025-08-14,Midwest,organic,small_business,Silver
B000278,2023-11-01,South,organic,consumer,Gold
B000279,2023-11-17,West,paid_search,consumer,Silver
B000280,2024-05-10,West,direct,consumer,Silver
B000281,2024-11-18,South,referral,enthusiast,Silver
B000282,2025-05-05,West,referral,consumer,Bronze
B000283,2024-11-22,Northeast,referral,enthusiast,Bronze
B000284,2024-10-08,Northeast,paid_search,consumer,Gold
B000285,2026-01-02,Northeast,social,consumer,Bronze
B000286,2024-01-27,Northeast,social,consumer,Bronze
B000287,2025-02-03,West,organic,consumer,Gold
B000288,2025-01-07,South,social,enthusiast,Bronze
B000289,2024-11-06,South,referral,consumer,Silver
B000290,2025-09-06,South,affiliate,consumer,Silver
B000291,2024-05-02,South,referral,consumer,Bronze
B000292,2026-01-16,South,organic,consumer,Bronze
B000293,2024-06-30,Northeast,referral,consumer,Bronze
B000294,2025-01-10,Midwest,organic,consumer,Silver
B000295,2024-12-19,Northeast,direct,small_business,Gold
B000296,2025-10-14,West,organic,consumer,Gold
B000297,2024-10-05,Northeast,social,consumer,Bronze
B000298,2024-05-18,West,social,consumer,Bronze
B000299,2023-09-22,West,paid_search,consumer,Silver
B000300,2024-07-29,Northeast,paid_search,consumer,Silver
B000301,2025-09-23,Northeast,organic,consumer,Bronze
B000302,2023-09-12,Central,social,consumer,Bronze
B000303,2025-11-25,South,direct,consumer,Bronze
B000304,2025-01-08,Midwest,paid_search,small_business,Bronze
B000305,2024-01-08,Northeast,social,consumer,Silver
B000306,2024-06-03,South,direct,consumer,Platinum
B000307,2025-01-18,Midwest,social,enthusiast,Bronze
B000308,2024-06-15,Central,direct,enthusiast,Silver
B000309,2023-12-10,South,paid_search,small_business,Bronze
B000310,2025-04-30,West,paid_search,consumer,Bronze
B000311,2025-05-06,Midwest,organic,consumer,Bronze
B000312,2023-12-20,Northeast,organic,consumer,Bronze
B000313,2024-05-15,South,affiliate,consumer,Bronze
B000314,2024-04-11,South,direct,consumer,Silver
B000315,2025-04-24,South,organic,consumer,Silver
B000316,2025-06-27,Midwest,direct,small_business,Silver
B000317,2025-06-24,South,paid_search,enthusiast,Silver
B000318,2026-01-03,South,paid_search,consumer,Bronze
B000319,2025-08-01,West,direct,enthusiast,Bronze
B000320,2024-06-20,Midwest,direct,small_business,Bronze
B000321,2023-12-09,Midwest,social,consumer,Bronze
B000322,2025-03-14,Midwest,paid_search,small_business,Bronze
B000323,2025-12-13,South,organic,consumer,Gold
B000324,2026-02-05,West,paid_search,consumer,Gold
B000325,2024-03-30,South,referral,enthusiast,Gold
B000326,2024-04-04,South,paid_search,consumer,Silver
B000327,2023-10-07,Northeast,referral,consumer,Silver
B000328,2024-01-09,Midwest,organic,enthusiast,Silver
B000329,2025-01-19,Midwest,social,consumer,Silver
B000330,2025-01-12,South,paid_search,consumer,Bronze
B000331,2024-08-05,West,social,consumer,Platinum
B000332,2024-06-10,West,social,consumer,Silver
B000333,2025-09-26,Northeast,email,consumer,Bronze
B000334,2024-10-25,West,direct,consumer,Silver
B000335,2025-09-06,South,referral,small_business,Gold
B000336,2026-01-25,Central,organic,consumer,Gold
B000337,2024-06-17,South,direct,consumer,Bronze
B000338,2024-03-05,South,direct,consumer,Silver
B000339,2026-01-16,South,direct,consumer,Bronze
B000340,2025-04-02,South,social,consumer,Bronze
B000341,2024-05-24,West,organic,consumer,Bronze
B000342,2025-03-21,South,referral,consumer,Bronze
B000343,2024-12-14,South,paid_search,consumer,Bronze
B000344,2025-12-04,Midwest,paid_search,consumer,Silver
B000345,2024-04-22,Central,paid_search,consumer,Gold
B000346,2026-02-20,West,social,consumer,Silver
B000347,2025-12-31,Midwest,paid_search,consumer,Bronze
B000348,2024-02-14,South,affiliate,consumer,Silver
B000349,2024-01-30,Northeast,affiliate,consumer,Gold
B000350,2024-12-30,West,social,small_business,Silver
B000351,2023-10-13,West,organic,consumer,Silver
B000352,2024-05-31,Midwest,direct,consumer,Bronze
B000353,2024-10-02,West,paid_search,consumer,Bronze
B000354,2026-01-31,Northeast,paid_search,consumer,Gold
B000355,2026-02-21,West,social,consumer,Bronze
B000356,2024-01-18,South,paid_search,consumer,Bronze
B000357,2025-11-21,Northeast,affiliate,consumer,Bronze
B000358,2023-11-24,South,organic,consumer,Silver
B000359,2025-07-14,South,direct,consumer,Silver
B000360,2025-10-10,Central,organic,enthusiast,Silver
B000361,2025-11-20,South,email,consumer,Gold
B000362,2024-03-24,West,affiliate,consumer,Bronze
B000363,2025-11-23,West,organic,enthusiast,Bronze
B000364,2023-12-17,Midwest,social,consumer,Platinum
B000365,2024-12-17,Central,paid_search,consumer,Bronze
B000366,2024-11-02,South,email,consumer,Gold
B000367,2024-06-16,South,referral,enthusiast,Silver
B000368,2023-09-23,Northeast,social,consumer,Bronze
B000369,2025-08-04,South,paid_search,small_business,Gold
B000370,2024-07-04,West,email,consumer,Bronze
B000371,2025-04-26,South,affiliate,consumer,Silver
B000372,2024-09-09,South,social,consumer,Bronze
B000373,2024-08-07,South,paid_search,consumer,Silver
B000374,2025-11-16,South,paid_search,consumer,Silver
B000375,2023-11-27,West,referral,consumer,Bronze
B000376,2025-07-03,South,social,consumer,Platinum
B000377,2025-07-12,West,direct,consumer,Bronze
B000378,2024-08-13,Midwest,social,small_business,Bronze
B000379,2023-09-07,West,social,consumer,Bronze
B000380,2026-01-01,South,social,consumer,Silver
B000381,2026-01-11,Midwest,referral,consumer,Silver
B000382,2024-04-09,Northeast,paid_search,consumer,Silver
B000383,2023-10-02,South,direct,consumer,Silver
B000384,2023-12-23,West,paid_search,consumer,Gold
B000385,2023-11-03,Midwest,referral,consumer,Platinum
B000386,2025-09-27,Northeast,direct,consumer,Gold
B000387,2025-11-21,West,referral,consumer,Bronze
B000388,2024-01-20,Northeast,paid_search,consumer,Silver
B000389,2025-07-12,Midwest,referral,consumer,Bronze
B000390,2024-02-12,Central,organic,consumer,Bronze
B000391,2024-08-01,Midwest,organic,consumer,Bronze
B000392,2025-02-28,West,referral,consumer,Bronze
B000393,2025-06-18,Midwest,referral,consumer,Silver
B000394,2025-11-05,West,organic,consumer,Silver
B000395,2023-10-13,Midwest,email,consumer,Silver
B000396,2024-02-28,West,paid_search,small_business,Platinum
B000397,2024-05-14,South,direct,small_business,Bronze
B000398,2024-06-11,West,referral,small_business,Bronze
B000399,2026-02-26,South,direct,small_business,Bronze
B000400,2025-08-09,Central,direct,enthusiast,Bronze
B000401,2024-06-20,South,email,consumer,Platinum
B000402,2026-02-02,South,affiliate,consumer,Bronze
B000403,2024-11-29,West,organic,consumer,Bronze
B000404,2024-12-01,South,paid_search,consumer,Bronze
B000405,2024-10-01,South,referral,consumer,Bronze
B000406,2024-01-11,West,organic,enthusiast,Silver
B000407,2025-12-30,Northeast,direct,consumer,Gold
B000408,2023-09-15,Northeast,organic,consumer,Silver
B000409,2024-02-08,South,direct,consumer,Bronze
B000410,2024-03-29,South,social,consumer,Silver
B000411,2024-05-13,South,direct,consumer,Gold
B000412,2023-12-31,Northeast,email,consumer,Bronze
B000413,2023-09-19,South,paid_search,consumer,Silver
B000414,2025-05-10,South,referral,consumer,Silver
B000415,2026-01-31,Northeast,organic,consumer,Silver
B000416,2023-12-22,Midwest,referral,consumer,Bronze
B000417,2024-05-29,Midwest,direct,consumer,Silver
B000418,2024-12-06,Northeast,paid_search,consumer,Gold
B000419,2025-12-24,South,organic,consumer,Silver
B000420,2025-05-26,West,paid_search,consumer,Bronze
B000421,2025-07-30,Midwest,organic,enthusiast,Bronze
B000422,2025-02-12,South,direct,consumer,Silver
B000423,2024-09-16,South,paid_search,consumer,Silver
B000424,2024-03-02,Northeast,email,consumer,Platinum
B000425,2025-10-27,West,email,consumer,Bronze
B000426,2025-09-02,Central,direct,consumer,Bronze
B000427,2023-09-25,Central,social,enthusiast,Gold
B000428,2025-06-14,South,paid_search,consumer,Silver
B000429,2023-11-18,South,referral,small_business,Silver
B000430,2025-07-05,Northeast,referral,consumer,Silver
B000431,2025-09-22,South,email,enthusiast,Bronze
B000432,2023-12-31,South,paid_search,enthusiast,Bronze
B000433,2024-10-01,Midwest,organic,consumer,Bronze
B000434,2023-12-24,Northeast,email,consumer,Bronze
B000435,2025-01-30,Central,direct,consumer,Silver
B000436,2025-12-24,Northeast,organic,consumer,Bronze
B000437,2023-11-15,Northeast,referral,consumer,Gold
B000438,2024-08-29,West,organic,consumer,Bronze
B000439,2026-02-03,West,social,small_business,Silver
B000440,2024-06-02,South,paid_search,consumer,Silver
B000441,2024-01-01,Midwest,paid_search,small_business,Bronze
B000442,2024-11-20,South,organic,consumer,Silver
B000443,2024-12-08,Northeast,paid_search,consumer,Platinum
B000444,2025-04-27,South,social,small_business,Platinum
B000445,2024-06-14,South,organic,consumer,Bronze
B000446,2026-01-18,Midwest,social,consumer,Silver
B000447,2024-12-19,South,social,enthusiast,Bronze
B000448,2024-05-20,Midwest,referral,consumer,Silver
B000449,2026-01-22,West,affiliate,consumer,Bronze
B000450,2025-12-21,Northeast,organic,consumer,Gold
B000451,2024-11-29,Northeast,organic,consumer,Silver
B000452,2023-09-25,South,direct,enthusiast,Bronze
B000453,2025-02-26,West,direct,small_business,Platinum
B000454,2025-01-19,Midwest,email,consumer,Silver
B000455,2024-01-15,West,email,consumer,Bronze
B000456,2025-04-01,South,affiliate,enthusiast,Gold
B000457,2025-10-06,South,direct,consumer,Silver
B000458,2023-12-08,Midwest,paid_search,consumer,Bronze
B000459,2025-06-21,Northeast,referral,small_business,Bronze
B000460,2024-01-08,West,email,consumer,Bronze
B000461,2024-09-17,Northeast,referral,consumer,Bronze
B000462,2023-09-08,South,paid_search,consumer,Gold
B000463,2026-01-28,Midwest,paid_search,consumer,Bronze
B000464,2024-01-31,South,paid_search,consumer,Silver
B000465,2025-02-25,Midwest,paid_search,consumer,Platinum
B000466,2024-02-14,South,direct,consumer,Platinum
B000467,2025-12-29,Central,referral,small_business,Gold
B000468,2025-07-05,West,organic,consumer,Gold
B000469,2025-09-03,West,referral,consumer,Gold
B000470,2024-09-29,Midwest,paid_search,consumer,Gold
B000471,2024-10-31,Midwest,social,consumer,Bronze
B000472,2025-04-01,Midwest,paid_search,consumer,Bronze
B000473,2025-08-16,South,social,consumer,Bronze
B000474,2025-10-11,South,referral,consumer,Bronze
B000475,2023-09-19,Midwest,referral,consumer,Bronze
B000476,2025-04-28,Northeast,referral,consumer,Bronze
B000477,2023-12-11,Northeast,paid_search,enthusiast,Bronze
B000478,2024-05-21,West,referral,small_business,Silver
B000479,2025-09-25,Northeast,organic,consumer,Bronze
B000480,2024-04-17,Midwest,social,consumer,Bronze
B000481,2025-08-27,Midwest,social,consumer,Silver
B000482,2024-10-27,Northeast,affiliate,consumer,Bronze
B000483,2024-04-01,Central,direct,enthusiast,Silver
B000484,2024-07-02,Northeast,paid_search,consumer,Bronze
B000485,2024-12-28,Central,direct,consumer,Silver
B000486,2025-07-29,West,paid_search,consumer,Gold
B000487,2025-03-06,South,social,consumer,Bronze
B000488,2025-12-29,Northeast,direct,consumer,Gold
B000489,2025-10-30,South,referral,consumer,Gold
B000490,2025-07-18,South,direct,small_business,Platinum
B000491,2025-03-04,South,direct,consumer,Gold
B000492,2024-05-23,Central,paid_search,enthusiast,Silver
B000493,2024-09-12,South,email,consumer,Bronze
B000494,2023-12-20,West,direct,consumer,Bronze
B000495,2024-08-08,Northeast,paid_search,small_business,Bronze
B000496,2025-12-23,Central,organic,consumer,Bronze
B000497,2024-09-24,South,paid_search,consumer,Platinum
B000498,2023-12-15,South,direct,enthusiast,Bronze
B000499,2025-04-17,Midwest,email,small_business,Silver
B000500,2026-01-25,Northeast,direct,small_business,Gold
B000501,2025-10-30,West,paid_search,consumer,Bronze
B000502,2024-05-09,South,organic,consumer,Bronze
B000503,2024-10-19,Midwest,social,consumer,Bronze
B000504,2024-12-28,Midwest,paid_search,consumer,Bronze
B000505,2024-04-15,Midwest,organic,consumer,Silver
B000506,2024-05-04,Northeast,organic,small_business,Bronze
B000507,2024-04-05,Northeast,organic,consumer,Silver
B000508,2026-02-23,Northeast,organic,consumer,Bronze
B000509,2025-07-12,South,referral,small_business,Silver
B000510,2025-10-06,Northeast,paid_search,small_business,Bronze
B000511,2025-09-14,Central,paid_search,consumer,Bronze
B000512,2026-01-21,Midwest,social,consumer,Bronze
B000513,2023-12-07,Midwest,email,consumer,Gold
B000514,2025-11-12,South,referral,consumer,Silver
B000515,2023-11-02,South,affiliate,consumer,Bronze
B000516,2024-11-08,Midwest,referral,consumer,Silver
B000517,2025-02-24,South,referral,small_business,Bronze
B000518,2024-07-24,South,referral,enthusiast,Gold
B000519,2024-01-13,South,social,consumer,Platinum
B000520,2024-02-24,Midwest,social,consumer,Bronze
B000521,2025-09-21,Central,social,consumer,Silver
B000522,2024-06-18,South,paid_search,enthusiast,Bronze
B000523,2024-06-11,South,paid_search,small_business,Silver
B000524,2025-12-20,Northeast,paid_search,enthusiast,Bronze
B000525,2024-01-11,South,paid_search,consumer,Silver
B000526,2025-12-12,West,social,consumer,Gold
B000527,2025-12-18,Northeast,social,consumer,Bronze
