refund_id,order_id,refund_date,refund_reason,refund_amount,full_refund_flag
R00000043,O00000303,2024-12-26,fraud_suspected,70.39,0
R00000044,O00000304,2025-12-30,fraud_suspected,117.8,1
R00000045,O00000308,2025-07-20,order_cancelled,63.24,0
R00000046,O00000316,2025-12-29,fraud_suspected,36.61,0
R00000047,O00000325,2024-12-16,fraud_suspected,108.25,0
R00000048,O00000327,2025-10-07,fraud_suspected,40.84,0
R00000049,O00000332,2026-01-28,fraud_suspected,228.41,1
R00000050,O00000333,2026-02-27,fraud_suspected,68.13,0
R00000051,O00000334,2026-01-30,fraud_suspected,19.61,0
R00000052,O00000339,2026-02-20,order_cancelled,65.67,1
R00000053,O00000351,2025-02-12,buyer_remorse,16.01,0
R00000054,O00000354,2026-02-24,not_as_described,51.62,1
R00000055,O00000359,2025-12-16,not_as_described,15.56,0
R00000056,O00000374,2026-01-28,fraud_suspected,181.28,0
R00000057,O00000379,2024-09-30,fraud_suspected,10.7,0
R00000058,O00000382,2025-06-16,fraud_suspected,222.4,0
R00000059,O00000385,2025-03-07,fraud_suspected,119.74,0
R00000060,O00000387,2024-11-25,fraud_suspected,281.14,0
R00000061,O00000388,2025-08-03,fraud_suspected,33.8,1
R00000062,O00000391,2025-06-23,fraud_suspected,13.24,0
R00000063,O00000392,2024-11-27,fraud_suspected,21.97,0
R00000064,O00000393,2025-07-05,fraud_suspected,69.03,0
R00000065,O00000399,2025-07-11,fraud_suspected,45.0,1
R00000066,O00000414,2025-05-29,fraud_suspected,23.34,0
R00000067,O00000424,2025-08-31,fraud_suspected,28.04,0
R00000068,O00000445,2025-11-04,order_cancelled,15.59,1
R00000069,O00000452,2025-08-13,buyer_remorse,285.3,1
R00000070,O00000453,2026-02-03,not_as_described,122.33,1
R00000071,O00000460,2025-08-12,buyer_remorse,19.32,0
R00000072,O00000469,2026-03-07,buyer_remorse,51.31,0
R00000073,O00000470,2025-09-03,not_as_described,42.94,0
R00000074,O00000472,2025-12-27,damaged_item,23.47,0
R00000075,O00000490,2025-01-18,not_as_described,180.21,1
R00000076,O00000491,2025-09-23,buyer_remorse,7.08,0
R00000077,O00000492,2025-05-30,not_as_described,14.17,0
R00000078,O00000511,2025-12-12,not_as_described,56.53,0
R00000079,O00000529,2025-07-19,buyer_remorse,267.39,0
R00000080,O00000536,2025-09-13,not_as_described,21.06,0
R00000081,O00000538,2024-11-24,buyer_remorse,33.08,0
R00000082,O00000539,2026-01-23,damaged_item,183.53,0
R00000083,O00000548,2026-01-04,not_as_described,26.14,0
R00000084,O00000549,2026-01-20,buyer_remorse,25.46,0
R00000085,O00000550,2026-01-06,order_cancelled,98.24,1
R00000086,O00000554,2026-01-11,buyer_remorse,33.37,0
R00000087,O00000555,2025-09-20,not_as_described,458.22,1
R00000088,O00000568,2025-08-16,not_as_described,105.04,0
R00000089,O00000569,2025-03-31,not_as_described,95.19,0
R00000090,O00000574,2025-05-24,order_cancelled,55.88,1
R00000091,O00000576,2025-12-15,order_cancelled,33.24,0
R00000092,O00000585,2024-08-17,order_cancelled,94.67,1
R00000093,O00000591,2025-06-15,buyer_remorse,110.16,0
R00000094,O00000594,2024-09-06,not_as_described,3.79,0
R00000095,O00000603,2026-01-03,damaged_item,44.6,0
R00000096,O00000607,2025-10-23,order_cancelled,149.2,1
R00000097,O00000609,2024-05-08,damaged_item,56.48,0
R00000098,O00000615,2024-04-27,damaged_item,28.81,0
R00000099,O00000620,2024-11-03,damaged_item,35.41,0
R00000100,O00000621,2024-09-06,order_cancelled,121.25,1
R00000101,O00000622,2025-11-23,not_as_described,64.4,0
R00000102,O00000629,2025-10-21,not_as_described,91.9,1
R00000103,O00000641,2025-02-14,not_as_described,8.85,0
R00000104,O00000653,2025-12-03,not_as_described,188.59,0
R00000105,O00000656,2026-02-23,not_as_described,484.03,1
R00000106,O00000661,2025-05-01,buyer_remorse,14.3,0
R00000107,O00000662,2026-03-16,buyer_remorse,19.93,0
R00000108,O00000666,2024-08-31,damaged_item,349.91,0
R00000109,O00000669,2025-10-21,not_as_described,8.11,0
R00000110,O00000671,2026-01-15,not_as_described,69.78,0
R00000111,O00000678,2026-01-13,not_as_described,24.96,0
R00000112,O00000680,2026-01-12,not_as_described,32.95,0
R00000113,O00000684,2024-07-09,buyer_remorse,23.22,0
R00000114,O00000687,2025-11-02,buyer_remorse,3.36,0
R00000115,O00000692,2025-03-03,buyer_remorse,49.0,0
R00000116,O00000704,2026-01-06,damaged_item,12.59,0
R00000117,O00000705,2025-08-29,buyer_remorse,58.46,0
R00000118,O00000706,2025-06-24,not_as_described,62.93,1
R00000119,O00000715,2025-03-11,not_as_described,128.53,1
R00000120,O00000723,2024-06-30,not_as_described,74.57,0
R00000121,O00000727,2024-07-06,order_cancelled,339.57,1
R00000122,O00000732,2025-01-26,damaged_item,35.02,0
R00000123,O00000733,2025-09-29,not_as_described,69.4,0
R00000124,O00000747,2025-10-12,damaged_item,108.71,0
R00000125,O00000748,2026-01-08,buyer_remorse,42.36,0
R00000126,O00000759,2025-12-27,fraud_suspected,9.88,0
R00000127,O00000760,2024-07-22,order_cancelled,210.24,1
R00000128,O00000761,2026-02-26,fraud_suspected,142.12,0
R00000129,O00000779,2026-01-03,fraud_suspected,7.02,0
R00000130,O00000781,2025-02-08,order_cancelled,16.94,1
R00000131,O00000783,2025-11-06,fraud_suspected,151.51,1
R00000132,O00000786,2025-01-31,fraud_suspected,170.66,1
R00000133,O00000787,2026-01-16,fraud_suspected,1240.74,0
R00000134,O00000790,2025-05-17,fraud_suspected,169.06,1
R00000135,O00000792,2024-11-14,fraud_suspected,197.28,0
R00000136,O00000798,2025-10-15,order_cancelled,44.75,1
R00000137,O00000799,2026-02-22,order_cancelled,280.95,1
R00000138,O00000809,2024-07-19,buyer_remorse,148.26,1
R00000139,O00000813,2024-09-12,order_cancelled,99.13,1
R00000140,O00000817,2024-07-19,buyer_remorse,90.5,0
R00000141,O00000818,2025-06-11,damaged_item,7.7,0
R00000142,O00000821,2025-12-26,not_as_described,14.27,0
R00000143,O00000827,2025-05-13,order_cancelled,47.75,1
R00000144,O00000835,2025-07-06,not_as_described,200.64,0
R00000145,O00000840,2026-02-08,fraud_suspected,72.29,1
R00000146,O00000850,2025-12-29,buyer_remorse,175.68,0
R00000147,O00000854,2025-05-18,damaged_item,45.18,0
R00000148,O00000855,2025-10-01,not_as_described,39.13,0
R00000149,O00000871,2025-11-28,not_as_described,54.48,0
R00000150,O00000877,2025-09-09,not_as_described,42.05,0
R00000151,O00000881,2026-01-13,buyer_remorse,444.35,0
R00000152,O00000891,2026-01-12,buyer_remorse,30.01,0
R00000153,O00000897,2025-05-25,damaged_item,82.02,0
R00000154,O00000899,2024-10-03,buyer_remorse,20.22,0
R00000155,O00000906,2024-08-27,not_as_described,59.73,0
R00000156,O00000909,2025-12-29,late_delivery,123.48,0
R00000157,O00000910,2026-01-29,damaged_item,120.97,0
R00000158,O00000916,2024-11-30,not_as_described,22.77,1
R00000159,O00000919,2026-01-04,buyer_remorse,26.37,0
R00000160,O00000920,2024-10-10,not_as_described,78.33,0
R00000161,O00000921,2024-08-01,buyer_remorse,33.39,0
R00000162,O00000922,2025-04-14,order_cancelled,43.91,1
R00000163,O00000924,2025-11-26,not_as_described,110.88,0
R00000164,O00000937,2025-08-04,buyer_remorse,66.26,0
R00000165,O00000942,2025-03-07,damaged_item,35.55,0
R00000166,O00000947,2025-06-09,buyer_remorse,50.29,0
R00000167,O00000954,2024-09-24,buyer_remorse,13.99,0
R00000168,O00000956,2024-10-25,order_cancelled,35.61,1
R00000169,O00000958,2024-06-04,not_as_described,27.37,0
R00000170,O00000961,2024-06-14,damaged_item,19.35,0
R00000171,O00000977,2025-02-13,not_as_described,4.9,0
R00000172,O00000978,2024-03-21,order_cancelled,292.8,1
R00000173,O00000985,2025-12-24,order_cancelled,52.27,1
R00000174,O00000998,2025-11-01,buyer_remorse,17.26,0
R00000175,O00001003,2024-12-07,buyer_remorse,236.58,0
R00000176,O00001004,2024-08-08,not_as_described,21.0,0
R00000177,O00001018,2025-10-14,damaged_item,28.92,0
R00000178,O00001020,2025-12-08,order_cancelled,199.62,1
R00000179,O00001034,2025-09-15,buyer_remorse,15.37,0
R00000180,O00001046,2025-10-22,fraud_suspected,110.68,0
R00000181,O00001051,2025-09-23,order_cancelled,14.73,0
R00000182,O00001064,2026-02-11,order_cancelled,123.2,1
R00000183,O00001072,2025-07-18,not_as_described,12.38,0
R00000184,O00001080,2025-05-11,not_as_described,64.3,0
R00000185,O00001087,2025-03-29,not_as_described,250.73,0
R00000186,O00001090,2025-02-18,not_as_described,19.49,0
R00000187,O00001110,2025-10-10,order_cancelled,355.45,1
R00000188,O00001111,2026-02-08,damaged_item,56.45,0
R00000189,O00001116,2025-11-20,not_as_described,183.71,0
R00000190,O00001124,2025-11-17,buyer_remorse,375.72,1
R00000191,O00001128,2025-04-16,not_as_described,19.11,0
R00000192,O00001136,2024-08-24,not_as_described,26.3,0
R00000193,O00001144,2024-12-02,damaged_item,14.06,0
R00000194,O00001161,2025-11-09,damaged_item,26.83,0
R00000195,O00001167,2025-04-11,buyer_remorse,24.69,0
R00000196,O00001169,2024-10-08,buyer_remorse,24.48,0
R00000197,O00001171,2026-01-01,buyer_remorse,94.51,0
R00000198,O00001174,2025-02-05,buyer_remorse,28.83,0
R00000199,O00001175,2025-02-19,order_cancelled,298.68,1
R00000200,O00001179,2026-03-15,not_as_described,50.29,0
R00000201,O00001182,2025-10-06,not_as_described,77.87,0
R00000202,O00001199,2025-11-29,not_as_described,106.55,1
R00000203,O00001201,2025-06-26,buyer_remorse,40.57,0
R00000204,O00001208,2025-10-22,not_as_described,129.14,0
R00000205,O00001216,2025-10-01,buyer_remorse,16.2,0
R00000206,O00001236,2025-09-01,fraud_suspected,156.4,1
R00000207,O00001258,2025-11-04,fraud_suspected,105.31,1
R00000208,O00001264,2024-07-04,fraud_suspected,17.72,0
R00000209,O00001266,2025-02-04,fraud_suspected,24.24,0
R00000210,O00001267,2024-11-22,fraud_suspected,214.94,0
R00000211,O00001272,2025-08-20,fraud_suspected,49.58,1
R00000212,O00001280,2025-10-19,fraud_suspected,236.52,0
R00000213,O00001302,2025-08-30,not_as_described,27.0,0
R00000214,O00001310,2025-11-14,not_as_described,34.81,0
R00000215,O00001311,2025-09-15,not_as_described,634.37,0
R00000216,O00001317,2025-08-20,buyer_remorse,140.15,0
R00000217,O00001318,2025-12-03,not_as_described,4.23,0
R00000218,O00001319,2025-06-27,damaged_item,80.91,0
R00000219,O00001322,2026-02-21,order_cancelled,88.96,1
R00000220,O00001323,2026-01-23,fraud_suspected,71.41,0
R00000221,O00001326,2025-06-28,fraud_suspected,17.41,0
R00000222,O00001334,2025-10-27,fraud_suspected,63.7,0
R00000223,O00001348,2025-10-30,fraud_suspected,52.75,1
R00000224,O00001351,2025-07-04,fraud_suspected,34.39,0
R00000225,O00001358,2024-12-29,fraud_suspected,85.0,0
R00000226,O00001361,2026-01-12,fraud_suspected,38.78,0
R00000227,O00001368,2026-03-18,not_as_described,18.03,0
R00000228,O00001376,2025-10-05,not_as_described,157.43,0
R00000229,O00001390,2025-10-14,buyer_remorse,130.7,0
R00000230,O00001397,2025-11-24,buyer_remorse,90.88,0
R00000231,O00001402,2025-11-11,buyer_remorse,61.84,1
R00000232,O00001403,2025-12-15,late_delivery,563.0,1
R00000233,O00001404,2025-07-13,not_as_described,68.53,0
R00000234,O00001412,2025-07-21,not_as_described,139.99,0
R00000235,O00001413,2025-09-10,damaged_item,97.4,0
R00000236,O00001416,2024-06-23,not_as_described,53.03,0
R00000237,O00001425,2026-01-24,damaged_item,16.63,0
R00000238,O00001430,2025-10-29,fraud_suspected,13.25,1
R00000239,O00001432,2025-03-27,fraud_suspected,39.42,0
R00000240,O00001433,2026-01-30,fraud_suspected,14.61,1
R00000241,O00001449,2025-08-07,order_cancelled,33.63,1
R00000242,O00001453,2025-10-04,not_as_described,8.88,0
R00000243,O00001454,2026-01-03,buyer_remorse,65.17,0
R00000244,O00001455,2025-12-21,buyer_remorse,87.27,0
R00000245,O00001459,2025-02-23,not_as_described,220.35,0
R00000246,O00001462,2024-12-11,damaged_item,37.89,0
R00000247,O00001465,2025-08-13,buyer_remorse,29.12,1
R00000248,O00001481,2026-01-18,buyer_remorse,308.5,1
R00000249,O00001484,2025-11-30,buyer_remorse,21.77,0
R00000250,O00001485,2024-10-29,damaged_item,132.22,0
R00000251,O00001490,2026-01-28,order_cancelled,94.34,0
R00000252,O00001492,2025-12-13,order_cancelled,21.33,0
R00000253,O00001510,2025-05-31,damaged_item,6.28,0
R00000254,O00001515,2024-11-27,item_not_received,319.31,1
R00000255,O00001520,2025-06-14,damaged_item,17.99,0
R00000256,O00001521,2024-09-14,damaged_item,110.11,0
R00000257,O00001524,2026-01-26,buyer_remorse,98.58,0
R00000258,O00001532,2025-08-03,damaged_item,87.4,0
R00000259,O00001546,2025-01-15,buyer_remorse,60.9,0
R00000260,O00001553,2025-08-20,not_as_described,27.09,0
R00000261,O00001558,2024-11-06,damaged_item,4.64,0
R00000262,O00001559,2025-11-14,not_as_described,40.52,0
R00000263,O00001560,2025-05-11,not_as_described,121.68,0
R00000264,O00001567,2024-11-18,not_as_described,88.07,0
R00000265,O00001568,2025-05-12,buyer_remorse,258.82,0
R00000266,O00001575,2024-09-05,damaged_item,17.35,0
R00000267,O00001576,2025-05-03,buyer_remorse,179.66,0
R00000268,O00001578,2024-08-20,damaged_item,37.32,0
R00000269,O00001584,2025-03-06,buyer_remorse,16.06,0
R00000270,O00001585,2026-01-26,order_cancelled,36.0,0
R00000271,O00001598,2026-02-27,not_as_described,135.4,0
R00000272,O00001609,2026-03-21,damaged_item,6.79,0
R00000273,O00001611,2025-08-03,damaged_item,9.92,0
R00000274,O00001614,2025-12-17,order_cancelled,54.73,1
R00000275,O00001622,2025-07-16,not_as_described,32.78,1
R00000276,O00001623,2025-10-22,not_as_described,31.61,0
R00000277,O00001624,2026-02-18,not_as_described,135.41,1
R00000278,O00001636,2025-12-09,not_as_described,83.33,0
R00000279,O00001642,2025-12-20,order_cancelled,80.54,1
R00000280,O00001643,2025-11-16,buyer_remorse,36.55,0
R00000281,O00001648,2025-11-18,order_cancelled,120.28,1
R00000282,O00001654,2025-12-04,not_as_described,259.37,0
R00000283,O00001655,2025-04-16,damaged_item,46.05,1
R00000284,O00001656,2024-07-16,damaged_item,21.96,0
R00000285,O00001659,2026-03-01,buyer_remorse,8.73,0
R00000286,O00001663,2025-02-19,damaged_item,68.55,0
R00000287,O00001666,2026-02-22,damaged_item,52.77,0
R00000288,O00001673,2025-12-16,order_cancelled,321.36,1
R00000289,O00001677,2025-08-01,damaged_item,40.22,1
R00000290,O00001678,2025-12-12,not_as_described,8.82,0
R00000291,O00001683,2025-02-16,buyer_remorse,31.1,0
R00000292,O00001684,2025-07-10,order_cancelled,163.32,1
R00000293,O00001690,2025-12-18,order_cancelled,63.17,1
R00000294,O00001693,2025-11-20,fraud_suspected,37.7,0
R00000295,O00001695,2025-10-27,fraud_suspected,41.74,1
R00000296,O00001709,2026-01-14,fraud_suspected,49.9,0
R00000297,O00001714,2025-10-16,fraud_suspected,37.92,0
R00000298,O00001715,2025-11-28,fraud_suspected,108.05,1
R00000299,O00001726,2025-09-10,fraud_suspected,44.18,0
R00000300,O00001730,2026-01-01,fraud_suspected,169.92,0
R00000301,O00001731,2025-08-19,fraud_suspected,227.53,1
R00000302,O00001738,2025-10-28,order_cancelled,120.33,0
R00000303,O00001743,2025-12-28,not_as_described,9.45,0
R00000304,O00001745,2025-10-25,buyer_remorse,169.14,1
R00000305,O00001746,2025-05-30,not_as_described,51.87,0
R00000306,O00001751,2025-09-30,buyer_remorse,47.37,0
R00000307,O00001757,2025-06-09,not_as_described,24.65,0
R00000308,O00001763,2025-03-08,not_as_described,189.76,0
R00000309,O00001764,2025-11-28,item_not_received,238.71,0
R00000310,O00001769,2025-07-06,not_as_described,75.52,0
R00000311,O00001787,2025-11-28,not_as_described,90.93,0
R00000312,O00001789,2025-03-10,item_not_received,8.9,0
R00000313,O00001808,2025-12-21,damaged_item,78.43,0
R00000314,O00001821,2025-12-02,fraud_suspected,12.6,0
R00000315,O00001824,2026-01-16,fraud_suspected,173.15,1
R00000316,O00001825,2025-08-12,order_cancelled,120.67,1
R00000317,O00001829,2025-12-14,fraud_suspected,52.78,0
R00000318,O00001831,2026-01-19,fraud_suspected,52.56,0
R00000319,O00001833,2025-10-07,fraud_suspected,337.95,0
R00000320,O00001839,2025-12-31,fraud_suspected,92.88,0
R00000321,O00001840,2025-08-31,fraud_suspected,35.64,0
R00000322,O00001844,2025-09-12,fraud_suspected,14.26,0
R00000323,O00001854,2025-08-02,buyer_remorse,78.45,1
R00000324,O00001861,2026-02-08,buyer_remorse,34.63,0
R00000325,O00001864,2025-09-01,buyer_remorse,103.0,1
R00000326,O00001874,2025-12-29,order_cancelled,29.23,1
R00000327,O00001883,2025-06-27,buyer_remorse,68.52,0
R00000328,O00001887,2024-11-15,buyer_remorse,31.61,0
R00000329,O00001891,2025-06-28,buyer_remorse,100.26,0
R00000330,O00001898,2025-05-19,not_as_described,18.39,0
R00000331,O00001904,2026-01-11,buyer_remorse,994.61,1
R00000332,O00001905,2026-01-04,not_as_described,165.5,0
R00000333,O00001911,2025-10-29,order_cancelled,572.81,1
R00000334,O00001918,2024-11-11,not_as_described,27.8,0
R00000335,O00001926,2025-10-04,not_as_described,115.63,1
R00000336,O00001932,2024-11-03,buyer_remorse,33.63,0
R00000337,O00001938,2025-01-26,not_as_described,329.97,1
R00000338,O00001941,2026-01-06,order_cancelled,42.36,0
R00000339,O00001945,2026-01-14,not_as_described,38.03,0
R00000340,O00001951,2024-03-24,not_as_described,119.91,0
R00000341,O00001952,2025-09-08,damaged_item,85.49,0
R00000342,O00001960,2026-02-17,not_as_described,198.47,0
R00000343,O00001967,2024-04-24,not_as_described,7.66,0
R00000344,O00001983,2025-05-15,damaged_item,60.55,0
R00000345,O00001985,2025-06-20,damaged_item,72.09,0
R00000346,O00001987,2025-03-12,damaged_item,66.47,0
R00000347,O00001990,2025-07-10,not_as_described,70.5,1
R00000348,O00001998,2026-02-18,not_as_described,7.17,0
R00000349,O00002001,2025-10-12,order_cancelled,186.65,1
R00000350,O00002002,2026-01-18,buyer_remorse,77.17,0
R00000351,O00002018,2025-07-28,not_as_described,6.8,0
R00000352,O00002036,2025-07-22,not_as_described,24.3,0
R00000353,O00002041,2025-10-21,not_as_described,54.47,0
R00000354,O00002050,2025-03-09,not_as_described,10.6,0
R00000355,O00002052,2025-11-25,not_as_described,13.14,0
R00000356,O00002056,2025-11-08,not_as_described,149.88,1
R00000357,O00002057,2025-12-12,order_cancelled,44.09,0
R00000358,O00002077,2025-04-02,damaged_item,43.38,0
R00000359,O00002083,2025-12-26,not_as_described,23.05,0
R00000360,O00002087,2026-01-14,damaged_item,23.64,0
R00000361,O00002088,2026-01-15,buyer_remorse,33.04,0
R00000362,O00002103,2025-08-14,damaged_item,340.71,1
R00000363,O00002104,2026-01-06,order_cancelled,37.6,1
R00000364,O00002108,2025-11-15,order_cancelled,64.89,0
R00000365,O00002113,2025-11-13,fraud_suspected,35.43,0
R00000366,O00002117,2025-11-17,fraud_suspected,21.41,0
R00000367,O00002121,2025-07-20,fraud_suspected,76.79,0
R00000368,O00002133,2025-02-11,order_cancelled,337.3,1
R00000369,O00002140,2025-03-19,buyer_remorse,4.58,0
R00000370,O00002142,2025-03-10,not_as_described,17.49,0
R00000371,O00002153,2025-02-03,order_cancelled,64.81,1
R00000372,O00002157,2026-01-25,order_cancelled,54.78,1
R00000373,O00002160,2024-10-17,order_cancelled,551.22,0
R00000374,O00002169,2025-11-12,order_cancelled,396.3,1
R00000375,O00002173,2025-08-10,buyer_remorse,30.6,0
R00000376,O00002191,2025-07-11,damaged_item,79.81,0
R00000377,O00002195,2026-03-05,not_as_described,400.57,0
R00000378,O00002207,2025-12-10,buyer_remorse,27.62,1
R00000379,O00002228,2026-01-24,buyer_remorse,12.45,0
R00000380,O00002238,2026-03-13,damaged_item,7.77,0
R00000381,O00002259,2025-05-06,fraud_suspected,16.86,0
R00000382,O00002262,2025-05-15,fraud_suspected,56.48,0
R00000383,O00002270,2024-10-09,fraud_suspected,36.49,0
R00000384,O00002276,2024-12-13,fraud_suspected,41.19,1
R00000385,O00002277,2025-08-11,fraud_suspected,29.16,0
R00000386,O00002289,2024-12-01,damaged_item,40.99,0
R00000387,O00002292,2025-02-12,not_as_described,127.86,0
R00000388,O00002302,2025-03-02,not_as_described,92.44,0
R00000389,O00002308,2025-04-26,damaged_item,5.35,0
R00000390,O00002313,2025-04-16,damaged_item,167.15,0
R00000391,O00002315,2025-03-15,buyer_remorse,44.02,0
R00000392,O00002317,2026-02-25,order_cancelled,169.6,1
R00000393,O00002318,2024-10-14,not_as_described,57.85,0
R00000394,O00002324,2026-03-02,buyer_remorse,91.61,0
R00000395,O00002328,2025-03-29,not_as_described,20.09,0
R00000396,O00002329,2025-08-03,buyer_remorse,45.97,0
R00000397,O00002332,2026-01-11,not_as_described,290.34,0
R00000398,O00002339,2024-11-07,not_as_described,42.62,0
R00000399,O00002340,2025-02-13,not_as_described,148.95,0
R00000400,O00002351,2024-04-15,buyer_remorse,303.45,1
R00000401,O00002352,2025-03-20,buyer_remorse,119.32,0
R00000402,O00002368,2024-09-01,not_as_described,94.17,0
R00000403,O00002386,2025-03-27,buyer_remorse,47.68,0
R00000404,O00002397,2024-12-14,damaged_item,27.48,0
R00000405,O00002417,2025-11-06,buyer_remorse,164.05,1
R00000406,O00002426,2025-11-11,damaged_item,105.77,0
R00000407,O00002428,2025-03-17,order_cancelled,81.08,1
R00000408,O00002429,2026-01-08,not_as_described,14.55,0
R00000409,O00002436,2025-11-16,damaged_item,36.89,0
R00000410,O00002447,2025-12-21,not_as_described,9.21,0
R00000411,O00002453,2025-12-26,not_as_described,4.16,0
R00000412,O00002455,2025-08-28,buyer_remorse,40.75,0
R00000413,O00002464,2025-12-13,not_as_described,27.14,1
R00000414,O00002469,2026-01-11,buyer_remorse,51.08,0
R00000415,O00002472,2024-07-08,damaged_item,21.72,0
R00000416,O00002473,2024-12-05,buyer_remorse,40.16,0
R00000417,O00002476,2026-02-18,buyer_remorse,97.05,1
R00000418,O00002477,2025-09-07,not_as_described,43.35,0
R00000419,O00002480,2025-11-06,not_as_described,52.61,0
R00000420,O00002496,2026-01-23,order_cancelled,82.98,1
R00000421,O00002508,2024-10-12,buyer_remorse,190.4,1
R00000422,O00002510,2026-02-21,fraud_suspected,30.47,0
R00000423,O00002514,2025-10-17,damaged_item,10.2,0
R00000424,O00002518,2025-07-03,damaged_item,16.01,0
R00000425,O00002541,2026-01-23,order_cancelled,300.15,1
R00000426,O00002546,2025-02-24,not_as_described,49.75,0
R00000427,O00002549,2025-03-17,order_cancelled,273.32,1
R00000428,O00002550,2026-01-24,buyer_remorse,290.24,0
R00000429,O00002558,2025-08-29,buyer_remorse,93.66,1
R00000430,O00002560,2024-05-15,damaged_item,20.04,0
R00000431,O00002574,2024-08-02,damaged_item,94.14,1
R00000432,O00002587,2025-03-20,damaged_item,215.11,1
R00000433,O00002589,2025-04-10,damaged_item,81.46,0
R00000434,O00002593,2025-09-08,order_cancelled,114.59,1
R00000435,O00002602,2026-01-06,item_not_received,34.27,0
R00000436,O00002603,2025-11-10,damaged_item,28.56,0
R00000437,O00002611,2026-01-09,buyer_remorse,72.51,0
R00000438,O00002614,2024-12-28,damaged_item,9.89,0
R00000439,O00002618,2026-01-15,not_as_described,6.7,0
R00000440,O00002623,2026-01-07,buyer_remorse,82.02,1
R00000441,O00002625,2025-07-26,damaged_item,14.13,0
R00000442,O00002647,2025-12-24,not_as_described,49.32,1
R00000443,O00002648,2025-03-22,not_as_described,17.33,0
R00000444,O00002650,2025-03-06,not_as_described,118.83,1
R00000445,O00002654,2024-09-22,buyer_remorse,231.56,1
R00000446,O00002662,2024-09-20,not_as_described,27.29,0
R00000447,O00002663,2025-11-19,damaged_item,11.46,0
R00000448,O00002667,2026-01-11,order_cancelled,144.21,1
R00000449,O00002668,2024-12-29,order_cancelled,35.32,0
R00000450,O00002676,2024-04-03,not_as_described,9.63,0
R00000451,O00002701,2024-08-18,order_cancelled,60.97,1
R00000452,O00002702,2025-07-13,not_as_described,197.85,0
R00000453,O00002703,2025-10-26,not_as_described,9.64,0
R00000454,O00002704,2025-07-15,damaged_item,7.14,0
R00000455,O00002705,2025-03-30,damaged_item,85.95,1
R00000456,O00002712,2026-02-08,not_as_described,181.17,0
R00000457,O00002718,2024-07-10,buyer_remorse,9.27,0
R00000458,O00002723,2025-05-25,buyer_remorse,84.74,1
R00000459,O00002730,2024-07-12,damaged_item,97.09,0
R00000460,O00002736,2024-04-22,not_as_described,59.27,1
R00000461,O00002738,2025-07-08,buyer_remorse,36.05,0
R00000462,O00002744,2024-03-27,not_as_described,332.22,0
R00000463,O00002750,2025-12-28,not_as_described,29.37,0
R00000464,O00002753,2025-02-11,not_as_described,14.59,0
R00000465,O00002755,2025-05-13,order_cancelled,12.84,1
