dispute_id,order_id,dispute_date,dispute_reason,dispute_status,dispute_amount
D00000096,O00000562,2025-04-04,damaged_item,under_review,70.74
D00000097,O00000579,2024-08-14,damaged_item,won_by_seller,9.45
D00000098,O00000580,2024-06-17,not_as_described,won_by_buyer,51.79
D00000099,O00000587,2024-11-17,not_as_described,under_review,183.06
D00000100,O00000590,2025-03-31,item_not_received,won_by_seller,105.43
D00000101,O00000596,2025-07-26,not_as_described,won_by_buyer,31.26
D00000102,O00000601,2025-11-19,not_as_described,won_by_seller,121.75
D00000103,O00000605,2024-12-03,late_delivery,won_by_buyer,41.1
D00000104,O00000615,2024-05-05,unauthorized_transaction,won_by_seller,13.78
D00000105,O00000624,2025-08-04,refund_not_processed,won_by_seller,813.94
D00000106,O00000630,2025-12-03,item_not_received,won_by_buyer,87.58
D00000107,O00000632,2025-12-15,late_delivery,won_by_buyer,219.0
D00000108,O00000636,2026-04-03,item_not_received,under_review,22.06
D00000109,O00000637,2024-11-03,damaged_item,won_by_seller,85.22
D00000110,O00000641,2025-02-18,unauthorized_transaction,won_by_buyer,8.19
D00000111,O00000675,2024-05-09,item_not_received,won_by_buyer,70.26
D00000112,O00000676,2024-07-02,damaged_item,under_review,18.91
D00000113,O00000677,2025-11-22,not_as_described,won_by_buyer,7.61
D00000114,O00000680,2026-01-16,unauthorized_transaction,won_by_buyer,51.15
D00000115,O00000691,2025-02-20,not_as_described,won_by_buyer,80.1
D00000116,O00000708,2025-11-24,not_as_described,won_by_seller,335.55
D00000117,O00000718,2024-03-19,refund_not_processed,under_review,49.04
D00000118,O00000732,2025-01-30,refund_not_processed,under_review,26.89
D00000119,O00000742,2024-08-08,unauthorized_transaction,won_by_buyer,802.84
D00000120,O00000747,2025-10-28,not_as_described,won_by_seller,25.2
D00000121,O00000758,2025-03-12,item_not_received,won_by_buyer,160.26
D00000122,O00000759,2025-12-31,unauthorized_transaction,under_review,16.77
D00000123,O00000761,2026-03-02,damaged_item,won_by_buyer,73.71
D00000124,O00000768,2025-10-03,unauthorized_transaction,under_review,19.36
D00000125,O00000773,2026-04-07,unauthorized_transaction,under_review,89.79
D00000126,O00000775,2024-11-28,not_as_described,won_by_seller,17.37
D00000127,O00000780,2025-01-23,unauthorized_transaction,won_by_seller,27.49
D00000128,O00000784,2025-01-15,not_as_described,won_by_buyer,7.02
D00000129,O00000785,2026-03-08,unauthorized_transaction,won_by_buyer,67.59
D00000130,O00000789,2025-05-16,not_as_described,won_by_buyer,28.57
D00000131,O00000792,2024-11-30,unauthorized_transaction,won_by_buyer,157.17
D00000132,O00000811,2025-02-05,damaged_item,won_by_buyer,40.55
D00000133,O00000817,2024-07-29,not_as_described,won_by_buyer,40.6
D00000134,O00000829,2024-09-17,unauthorized_transaction,won_by_seller,68.02
D00000135,O00000833,2025-05-07,item_not_received,under_review,128.74
D00000136,O00000837,2026-04-06,not_as_described,won_by_seller,77.89
D00000137,O00000851,2026-01-24,item_not_received,won_by_seller,97.76
D00000138,O00000853,2025-05-23,not_as_described,won_by_buyer,15.43
D00000139,O00000854,2025-05-30,unauthorized_transaction,won_by_buyer,46.27
D00000140,O00000855,2025-10-02,item_not_received,won_by_buyer,22.77
D00000141,O00000865,2025-08-13,not_as_described,won_by_seller,257.74
D00000142,O00000873,2026-02-24,refund_not_processed,won_by_seller,140.66
D00000143,O00000879,2026-04-12,not_as_described,won_by_seller,60.85
D00000144,O00000882,2025-08-30,not_as_described,won_by_seller,52.48
D00000145,O00000898,2025-02-13,not_as_described,under_review,103.49
D00000146,O00000901,2025-09-04,late_delivery,won_by_buyer,19.01
D00000147,O00000903,2025-10-01,item_not_received,won_by_seller,76.26
D00000148,O00000925,2025-05-05,item_not_received,under_review,19.76
D00000149,O00000926,2024-08-21,not_as_described,won_by_seller,29.81
D00000150,O00000927,2026-03-10,refund_not_processed,won_by_seller,8.89
D00000151,O00000929,2025-05-28,item_not_received,won_by_buyer,9.33
D00000152,O00000942,2025-03-15,unauthorized_transaction,under_review,110.65
D00000153,O00000943,2024-07-24,item_not_received,won_by_seller,23.4
D00000154,O00000949,2025-02-21,unauthorized_transaction,won_by_seller,203.51
D00000155,O00000953,2024-03-23,refund_not_processed,won_by_buyer,144.96
D00000156,O00000954,2024-09-25,item_not_received,won_by_buyer,33.81
D00000157,O00000958,2024-06-08,unauthorized_transaction,won_by_seller,12.09
D00000158,O00000962,2024-06-13,item_not_received,won_by_buyer,50.75
D00000159,O00000963,2024-09-09,not_as_described,under_review,11.77
D00000160,O00000970,2024-09-10,not_as_described,won_by_seller,216.07
D00000161,O00000982,2024-05-16,damaged_item,under_review,82.08
D00000162,O00000991,2025-02-13,damaged_item,won_by_buyer,69.98
D00000163,O00000992,2025-10-08,unauthorized_transaction,won_by_seller,19.73
D00000164,O00001013,2025-12-31,damaged_item,won_by_buyer,70.85
D00000165,O00001034,2025-09-22,unauthorized_transaction,won_by_buyer,29.47
D00000166,O00001036,2026-03-17,damaged_item,won_by_buyer,19.41
D00000167,O00001045,2026-01-28,not_as_described,won_by_seller,62.44
D00000168,O00001047,2026-02-16,item_not_received,under_review,14.89
D00000169,O00001048,2026-01-20,unauthorized_transaction,won_by_buyer,144.01
D00000170,O00001054,2025-08-19,item_not_received,won_by_buyer,168.94
D00000171,O00001072,2025-07-30,not_as_described,won_by_buyer,31.75
D00000172,O00001073,2026-01-23,item_not_received,under_review,29.42
D00000173,O00001078,2025-10-10,refund_not_processed,won_by_seller,17.36
D00000174,O00001097,2026-01-05,unauthorized_transaction,won_by_seller,63.99
D00000175,O00001098,2025-11-01,item_not_received,won_by_seller,67.17
D00000176,O00001101,2025-12-02,late_delivery,won_by_seller,134.23
D00000177,O00001105,2025-09-04,not_as_described,won_by_buyer,10.92
D00000178,O00001127,2025-01-14,unauthorized_transaction,won_by_seller,135.96
D00000179,O00001142,2024-11-13,damaged_item,won_by_buyer,112.28
D00000180,O00001162,2025-06-20,unauthorized_transaction,won_by_seller,63.17
D00000181,O00001164,2024-07-26,not_as_described,won_by_buyer,164.83
D00000182,O00001168,2024-05-20,not_as_described,won_by_buyer,7.57
D00000183,O00001169,2024-10-24,unauthorized_transaction,won_by_buyer,70.61
D00000184,O00001171,2026-01-15,item_not_received,under_review,203.91
D00000185,O00001174,2025-02-09,damaged_item,under_review,14.68
D00000186,O00001179,2026-03-21,unauthorized_transaction,under_review,70.4
D00000187,O00001193,2025-11-21,damaged_item,won_by_buyer,20.67
D00000188,O00001202,2026-02-04,not_as_described,won_by_buyer,62.22
D00000189,O00001224,2025-11-07,not_as_described,won_by_buyer,24.77
D00000190,O00001226,2025-09-24,damaged_item,won_by_buyer,18.26
D00000191,O00001233,2026-02-24,item_not_received,under_review,55.22
D00000192,O00001244,2025-07-30,unauthorized_transaction,won_by_seller,20.97
D00000193,O00001246,2024-12-03,not_as_described,under_review,245.78
D00000194,O00001250,2026-02-08,unauthorized_transaction,under_review,170.27
D00000195,O00001251,2024-09-29,unauthorized_transaction,under_review,466.7
D00000196,O00001259,2026-01-19,not_as_described,won_by_seller,80.46
D00000197,O00001261,2025-10-29,not_as_described,under_review,141.13
D00000198,O00001263,2025-08-18,item_not_received,won_by_buyer,189.74
D00000199,O00001270,2026-01-16,not_as_described,won_by_buyer,514.0
D00000200,O00001285,2025-01-07,unauthorized_transaction,under_review,159.32
D00000201,O00001300,2026-02-26,refund_not_processed,under_review,43.69
D00000202,O00001303,2026-03-15,unauthorized_transaction,won_by_seller,61.99
D00000203,O00001310,2025-11-27,unauthorized_transaction,won_by_seller,112.03
D00000204,O00001317,2025-08-20,not_as_described,won_by_buyer,30.77
D00000205,O00001320,2026-03-17,item_not_received,won_by_seller,261.79
D00000206,O00001321,2026-03-09,item_not_received,won_by_seller,69.53
D00000207,O00001327,2026-02-24,not_as_described,won_by_buyer,82.54
D00000208,O00001331,2025-08-20,unauthorized_transaction,won_by_buyer,88.09
D00000209,O00001333,2025-06-02,unauthorized_transaction,won_by_buyer,110.05
D00000210,O00001335,2025-11-28,unauthorized_transaction,won_by_buyer,138.52
D00000211,O00001341,2025-06-02,item_not_received,won_by_seller,12.34
D00000212,O00001342,2025-05-01,not_as_described,won_by_seller,125.15
D00000213,O00001349,2025-05-01,unauthorized_transaction,won_by_seller,98.17
D00000214,O00001358,2025-01-15,item_not_received,under_review,65.12
D00000215,O00001370,2025-08-30,not_as_described,won_by_seller,31.4
D00000216,O00001372,2024-11-20,not_as_described,won_by_seller,49.76
D00000217,O00001382,2024-06-10,unauthorized_transaction,under_review,36.82
D00000218,O00001389,2025-08-12,unauthorized_transaction,won_by_seller,65.53
D00000219,O00001393,2026-02-26,late_delivery,under_review,52.01
D00000220,O00001400,2025-09-27,unauthorized_transaction,won_by_seller,48.45
D00000221,O00001404,2025-07-22,unauthorized_transaction,won_by_buyer,73.86
D00000222,O00001409,2024-07-13,not_as_described,won_by_buyer,14.22
D00000223,O00001416,2024-06-24,not_as_described,under_review,43.49
D00000224,O00001423,2024-12-09,refund_not_processed,won_by_seller,12.05
D00000225,O00001427,2025-07-07,item_not_received,won_by_seller,67.21
D00000226,O00001432,2025-04-09,unauthorized_transaction,won_by_buyer,39.73
D00000227,O00001434,2024-09-24,unauthorized_transaction,won_by_buyer,38.59
D00000228,O00001438,2025-11-07,not_as_described,won_by_seller,16.84
D00000229,O00001442,2026-04-05,unauthorized_transaction,won_by_seller,12.01
D00000230,O00001445,2025-12-04,not_as_described,won_by_seller,11.11
D00000231,O00001452,2025-12-15,not_as_described,won_by_seller,192.1
D00000232,O00001455,2025-12-26,not_as_described,under_review,24.55
D00000233,O00001457,2025-06-18,damaged_item,won_by_seller,38.32
D00000234,O00001458,2025-06-25,damaged_item,won_by_seller,20.7
D00000235,O00001473,2025-12-01,unauthorized_transaction,under_review,172.2
D00000236,O00001475,2025-01-02,not_as_described,won_by_seller,90.42
D00000237,O00001514,2025-12-05,unauthorized_transaction,under_review,346.43
D00000238,O00001518,2025-09-22,damaged_item,under_review,74.89
D00000239,O00001544,2024-09-05,refund_not_processed,won_by_seller,87.36
D00000240,O00001555,2026-02-14,not_as_described,won_by_seller,91.44
D00000241,O00001557,2026-01-30,not_as_described,under_review,55.09
D00000242,O00001558,2024-11-19,unauthorized_transaction,won_by_buyer,13.72
D00000243,O00001559,2025-11-25,item_not_received,won_by_buyer,77.04
D00000244,O00001598,2026-03-07,item_not_received,won_by_seller,113.71
D00000245,O00001604,2025-06-26,unauthorized_transaction,won_by_seller,167.3
D00000246,O00001605,2026-02-24,damaged_item,won_by_seller,18.93
D00000247,O00001609,2026-03-31,damaged_item,under_review,12.98
D00000248,O00001613,2025-06-21,damaged_item,under_review,118.74
D00000249,O00001617,2026-01-18,not_as_described,won_by_buyer,16.5
D00000250,O00001634,2026-02-22,damaged_item,won_by_buyer,15.44
D00000251,O00001641,2026-02-07,not_as_described,won_by_seller,90.3
D00000252,O00001644,2025-12-24,item_not_received,won_by_buyer,100.21
D00000253,O00001659,2026-03-07,refund_not_processed,under_review,6.95
D00000254,O00001663,2025-02-20,unauthorized_transaction,won_by_buyer,39.0
D00000255,O00001666,2026-03-02,refund_not_processed,under_review,19.74
D00000256,O00001669,2025-09-22,not_as_described,won_by_buyer,34.46
D00000257,O00001674,2025-10-15,not_as_described,won_by_buyer,310.11
D00000258,O00001693,2025-11-30,not_as_described,won_by_buyer,8.27
D00000259,O00001696,2025-09-28,unauthorized_transaction,under_review,33.35
D00000260,O00001705,2026-02-09,not_as_described,won_by_seller,15.97
D00000261,O00001709,2026-01-19,item_not_received,won_by_buyer,48.99
D00000262,O00001720,2026-03-11,item_not_received,won_by_buyer,103.81
D00000263,O00001723,2026-01-23,item_not_received,won_by_seller,39.18
D00000264,O00001735,2025-11-14,unauthorized_transaction,won_by_seller,27.46
D00000265,O00001737,2025-09-27,not_as_described,won_by_seller,55.79
D00000266,O00001770,2025-09-06,not_as_described,under_review,201.81
D00000267,O00001776,2025-04-23,not_as_described,won_by_buyer,25.85
D00000268,O00001802,2025-05-10,not_as_described,won_by_buyer,32.62
D00000269,O00001805,2025-01-24,not_as_described,won_by_buyer,109.48
D00000270,O00001821,2025-12-09,unauthorized_transaction,won_by_buyer,31.16
D00000271,O00001834,2025-10-17,item_not_received,won_by_buyer,16.61
D00000272,O00001839,2026-01-09,not_as_described,won_by_seller,189.34
D00000273,O00001840,2025-09-06,item_not_received,won_by_seller,29.82
D00000274,O00001844,2025-09-29,unauthorized_transaction,won_by_buyer,11.2
D00000275,O00001846,2026-03-01,unauthorized_transaction,under_review,228.18
D00000276,O00001847,2025-11-10,not_as_described,won_by_seller,21.49
D00000277,O00001860,2025-05-03,not_as_described,won_by_seller,17.38
D00000278,O00001867,2026-03-27,unauthorized_transaction,won_by_seller,55.29
D00000279,O00001871,2026-02-05,not_as_described,won_by_seller,88.06
D00000280,O00001877,2025-02-09,damaged_item,won_by_buyer,27.36
D00000281,O00001881,2025-05-25,item_not_received,won_by_buyer,735.33
D00000282,O00001891,2025-07-08,not_as_described,won_by_buyer,106.88
D00000283,O00001899,2025-12-12,refund_not_processed,under_review,35.51
D00000284,O00001905,2026-01-11,unauthorized_transaction,won_by_buyer,126.62
D00000285,O00001910,2026-02-26,unauthorized_transaction,won_by_buyer,116.12
D00000286,O00001929,2024-09-30,damaged_item,won_by_seller,24.12
D00000287,O00001937,2025-07-22,refund_not_processed,won_by_buyer,22.31
D00000288,O00001954,2026-01-16,item_not_received,won_by_buyer,34.23
D00000289,O00001960,2026-02-25,unauthorized_transaction,won_by_buyer,155.44
D00000290,O00001978,2025-09-07,item_not_received,won_by_seller,32.29
D00000291,O00001984,2025-10-10,damaged_item,under_review,22.74
D00000292,O00001988,2025-04-04,not_as_described,won_by_seller,17.09
D00000293,O00002000,2025-07-24,not_as_described,under_review,13.28
D00000294,O00002022,2026-03-26,damaged_item,won_by_buyer,20.6
D00000295,O00002024,2025-06-18,not_as_described,under_review,132.15
D00000296,O00002041,2025-11-07,not_as_described,won_by_buyer,18.73
D00000297,O00002055,2025-11-28,not_as_described,won_by_buyer,214.94
D00000298,O00002083,2026-01-02,not_as_described,won_by_buyer,36.3
D00000299,O00002091,2025-05-17,unauthorized_transaction,under_review,192.61
D00000300,O00002092,2025-06-03,damaged_item,won_by_buyer,69.82
D00000301,O00002093,2025-10-04,item_not_received,won_by_buyer,140.62
D00000302,O00002094,2025-07-20,unauthorized_transaction,won_by_seller,276.84
D00000303,O00002098,2025-04-02,item_not_received,won_by_buyer,47.84
D00000304,O00002113,2025-11-21,unauthorized_transaction,won_by_buyer,26.83
D00000305,O00002117,2025-12-01,item_not_received,won_by_buyer,39.01
D00000306,O00002120,2025-11-11,not_as_described,won_by_buyer,117.9
D00000307,O00002122,2026-01-10,item_not_received,won_by_seller,33.75
D00000308,O00002140,2025-03-27,refund_not_processed,won_by_seller,13.27
D00000309,O00002141,2025-05-30,not_as_described,won_by_buyer,100.17
D00000310,O00002144,2025-03-15,damaged_item,won_by_seller,336.58
D00000311,O00002171,2024-08-03,not_as_described,won_by_seller,194.46
D00000312,O00002175,2024-08-19,not_as_described,won_by_seller,108.98
D00000313,O00002179,2025-01-18,damaged_item,won_by_seller,70.53
D00000314,O00002187,2025-10-17,unauthorized_transaction,won_by_buyer,35.19
D00000315,O00002189,2025-12-26,not_as_described,won_by_seller,43.36
D00000316,O00002202,2025-12-14,item_not_received,won_by_buyer,145.99
D00000317,O00002209,2026-03-26,not_as_described,under_review,55.13
D00000318,O00002231,2025-08-15,item_not_received,under_review,36.58
D00000319,O00002236,2025-09-28,item_not_received,under_review,22.17
D00000320,O00002239,2025-05-11,not_as_described,won_by_seller,18.38
D00000321,O00002248,2026-02-19,not_as_described,under_review,20.17
D00000322,O00002262,2025-05-27,unauthorized_transaction,won_by_buyer,18.83
D00000323,O00002264,2026-02-21,item_not_received,under_review,129.45
D00000324,O00002265,2025-12-29,item_not_received,under_review,1275.62
D00000325,O00002269,2026-02-04,unauthorized_transaction,won_by_buyer,61.98
D00000326,O00002270,2024-10-21,unauthorized_transaction,won_by_buyer,19.32
D00000327,O00002277,2025-08-21,unauthorized_transaction,won_by_buyer,55.57
D00000328,O00002281,2025-06-07,not_as_described,won_by_seller,86.52
D00000329,O00002284,2025-12-15,unauthorized_transaction,won_by_seller,139.25
D00000330,O00002305,2026-01-10,not_as_described,won_by_buyer,153.29
D00000331,O00002308,2025-05-05,damaged_item,under_review,12.06
D00000332,O00002323,2025-09-18,unauthorized_transaction,under_review,113.08
D00000333,O00002324,2026-03-17,not_as_described,won_by_buyer,127.16
D00000334,O00002327,2025-06-29,unauthorized_transaction,under_review,8.97
D00000335,O00002328,2025-04-01,item_not_received,under_review,17.1
D00000336,O00002330,2026-01-13,not_as_described,won_by_seller,203.53
D00000337,O00002335,2024-09-10,unauthorized_transaction,won_by_buyer,73.41
D00000338,O00002339,2024-11-10,damaged_item,won_by_seller,50.27
D00000339,O00002340,2025-02-23,unauthorized_transaction,under_review,185.64
D00000340,O00002358,2024-07-01,not_as_described,won_by_seller,9.04
D00000341,O00002373,2024-12-07,not_as_described,won_by_seller,195.01
D00000342,O00002377,2025-10-12,damaged_item,under_review,56.67
D00000343,O00002380,2026-01-31,unauthorized_transaction,under_review,118.54
D00000344,O00002381,2024-12-24,item_not_received,won_by_buyer,151.44
D00000345,O00002382,2025-04-07,refund_not_processed,won_by_seller,305.06
D00000346,O00002395,2025-11-15,damaged_item,under_review,152.97
D00000347,O00002397,2024-12-24,not_as_described,under_review,15.96
D00000348,O00002416,2026-02-13,unauthorized_transaction,under_review,70.46
D00000349,O00002429,2026-01-13,item_not_received,under_review,7.17
D00000350,O00002436,2025-12-03,unauthorized_transaction,won_by_buyer,31.13
D00000351,O00002437,2024-07-11,damaged_item,won_by_buyer,64.62
D00000352,O00002445,2026-02-25,not_as_described,won_by_seller,53.18
D00000353,O00002468,2025-11-14,item_not_received,under_review,51.14
D00000354,O00002469,2026-01-20,late_delivery,won_by_seller,249.82
D00000355,O00002473,2024-12-15,not_as_described,won_by_seller,8.81
D00000356,O00002484,2025-07-18,damaged_item,won_by_buyer,40.75
D00000357,O00002487,2025-02-16,not_as_described,under_review,12.58
D00000358,O00002510,2026-02-22,unauthorized_transaction,under_review,20.27
D00000359,O00002512,2024-12-19,refund_not_processed,under_review,81.26
D00000360,O00002524,2025-07-25,not_as_described,won_by_buyer,108.36
D00000361,O00002526,2025-04-17,item_not_received,under_review,20.91
D00000362,O00002553,2025-09-08,damaged_item,won_by_seller,223.48
D00000363,O00002555,2025-03-08,item_not_received,under_review,40.25
D00000364,O00002560,2024-05-21,not_as_described,won_by_buyer,20.24
D00000365,O00002576,2025-08-07,not_as_described,won_by_seller,36.7
D00000366,O00002581,2025-01-06,item_not_received,won_by_seller,119.92
D00000367,O00002584,2025-06-05,not_as_described,under_review,16.57
D00000368,O00002595,2026-01-04,item_not_received,under_review,80.33
D00000369,O00002611,2026-01-24,late_delivery,won_by_buyer,21.28
D00000370,O00002619,2025-03-28,not_as_described,under_review,26.24
D00000371,O00002621,2026-01-27,unauthorized_transaction,under_review,13.68
D00000372,O00002633,2025-05-22,damaged_item,won_by_seller,15.3
D00000373,O00002637,2026-01-19,unauthorized_transaction,won_by_seller,90.44
D00000374,O00002646,2024-08-29,item_not_received,won_by_buyer,24.18
D00000375,O00002649,2024-11-29,item_not_received,under_review,35.11
D00000376,O00002661,2025-09-23,item_not_received,under_review,18.98
D00000377,O00002665,2025-08-21,item_not_received,won_by_buyer,111.44
D00000378,O00002677,2025-11-06,item_not_received,won_by_seller,45.93
D00000379,O00002685,2026-02-22,unauthorized_transaction,under_review,213.42
D00000380,O00002711,2026-02-24,refund_not_processed,under_review,33.53
D00000381,O00002715,2024-11-18,late_delivery,won_by_buyer,21.21
D00000382,O00002716,2026-02-12,not_as_described,under_review,51.92
D00000383,O00002721,2024-06-13,not_as_described,won_by_seller,42.73
D00000384,O00002728,2025-12-18,refund_not_processed,won_by_buyer,104.33
D00000385,O00002731,2024-12-01,not_as_described,under_review,30.15
D00000386,O00002744,2024-04-03,not_as_described,under_review,100.93
D00000387,O00002765,2025-05-06,unauthorized_transaction,won_by_seller,15.29
D00000388,O00002783,2025-05-29,not_as_described,won_by_buyer,288.1
D00000389,O00002785,2025-11-24,unauthorized_transaction,under_review,217.23
D00000390,O00002817,2026-01-10,unauthorized_transaction,won_by_buyer,196.59
D00000391,O00002819,2026-04-13,not_as_described,won_by_seller,42.23
D00000392,O00002822,2026-01-17,not_as_described,under_review,10.4
D00000393,O00002829,2025-11-25,not_as_described,won_by_buyer,22.12
D00000394,O00002835,2026-01-28,unauthorized_transaction,under_review,120.66
D00000395,O00002842,2024-05-05,refund_not_processed,won_by_seller,23.55
D00000396,O00002844,2026-01-04,not_as_described,under_review,62.43
D00000397,O00002846,2025-09-02,damaged_item,won_by_seller,38.55
D00000398,O00002852,2025-10-13,damaged_item,under_review,60.45
D00000399,O00002858,2024-09-26,unauthorized_transaction,won_by_seller,129.19
D00000400,O00002862,2026-01-02,late_delivery,under_review,119.57
D00000401,O00002863,2026-03-07,not_as_described,under_review,4.11
