product_id,seller_id,category,subcategory,list_price,estimated_cost,shipping_cost_proxy
P0000035,S00004,Sports,Fitness,40.38,23.03,7.31
P0000036,S00004,Sports,Cycling,87.91,50.13,5.5
P0000037,S00004,Sports,Cycling,101.92,56.75,5.37
P0000038,S00004,Sports,Team Sports,58.61,32.55,6.33
P0000039,S00004,Sports,Team Sports,58.07,33.24,5.3
P0000040,S00004,Fashion,Men,95.9,40.05,5.32
P0000041,S00004,Sports,Outdoor,82.47,43.94,6.93
P0000042,S00004,Sports,Team Sports,49.41,27.79,5.72
P0000043,S00004,Sports,Fitness,34.3,21.71,6.74
P0000044,S00004,Grocery,Snacks,30.48,20.14,3.48
P0000045,S00004,Sports,Cycling,106.56,69.82,6.8
P0000046,S00004,Sports,Cycling,77.1,46.2,5.38
P0000047,S00004,Sports,Team Sports,97.57,56.99,8.02
P0000048,S00004,Sports,Outdoor,61.92,36.06,6.11
P0000049,S00004,Sports,Fitness,133.35,84.98,6.99
P0000050,S00004,Beauty,Wellness,60.2,29.9,3.02
P0000051,S00004,Sports,Fitness,90.91,55.74,6.75
P0000052,S00004,Sports,Fitness,108.17,65.49,7.45
P0000053,S00005,Beauty,Hair,21.23,10.87,3.84
P0000054,S00005,Beauty,Makeup,38.72,18.99,3.57
P0000055,S00005,Toys,Action Figures,22.2,10.43,5.22
P0000056,S00005,Beauty,Hair,16.76,9.23,2.69
P0000057,S00005,Beauty,Makeup,67.83,34.22,2.92
P0000058,S00005,Beauty,Skincare,39.26,17.95,3.27
P0000059,S00005,Beauty,Makeup,33.49,16.98,2.85
P0000060,S00005,Beauty,Hair,43.85,23.29,3.64
P0000061,S00005,Beauty,Wellness,38.12,17.94,3.56
P0000062,S00005,Beauty,Skincare,30.49,16.19,2.77
P0000063,S00005,Beauty,Wellness,39.54,23.11,3.88
P0000064,S00005,Beauty,Wellness,27.32,11.6,2.87
P0000065,S00005,Beauty,Wellness,38.69,20.1,3.16
P0000066,S00005,Beauty,Makeup,34.05,16.98,3.65
P0000067,S00005,Beauty,Makeup,22.32,11.89,3.96
P0000068,S00005,Beauty,Makeup,26.96,14.98,2.79
P0000069,S00006,Electronics,Phones,302.38,232.4,6.68
P0000070,S00006,Toys,Puzzles,82.05,42.9,3.57
P0000071,S00006,Sports,Cycling,81.5,45.13,7.09
P0000072,S00006,Electronics,Phones,248.54,178.55,9.38
P0000073,S00006,Toys,Action Figures,53.49,30.38,3.64
P0000074,S00006,Sports,Team Sports,101.01,51.8,7.05
P0000075,S00006,Digital Goods,Courses,96.91,35.86,0.76
P0000076,S00006,Electronics,Accessories,261.17,193.44,8.9
P0000077,S00006,Electronics,Phones,259.18,189.24,8.3
P0000078,S00006,Sports,Cycling,128.97,71.85,7.67
P0000079,S00006,Electronics,Audio,109.21,76.07,9.75
P0000080,S00006,Electronics,Accessories,248.57,170.58,8.52
P0000081,S00007,Grocery,Snacks,21.82,14.75,2.91
P0000082,S00007,Electronics,Phones,281.98,206.85,6.51
P0000083,S00007,Beauty,Makeup,32.27,16.65,2.83
P0000084,S00007,Grocery,Beverages,30.34,20.53,2.98
P0000085,S00007,Grocery,Beverages,21.93,16.05,2.66
P0000086,S00007,Grocery,Household,14.74,9.63,2.55
P0000087,S00007,Grocery,Pantry,29.91,19.13,3.23
P0000088,S00007,Beauty,Skincare,52.96,24.88,3.06
P0000089,S00007,Grocery,Snacks,28.41,19.07,2.45
P0000090,S00007,Grocery,Household,20.5,14.67,2.39
P0000091,S00008,Electronics,Accessories,160.36,114.99,6.86
P0000092,S00008,Electronics,Phones,235.76,176.09,6.17
P0000093,S00008,Electronics,Accessories,283.01,221.43,7.16
P0000094,S00008,Electronics,Audio,200.48,142.99,7.65
P0000095,S00008,Electronics,Computers,631.88,455.32,8.3
P0000096,S00008,Electronics,Accessories,251.37,188.58,7.06
P0000097,S00008,Beauty,Hair,39.08,19.72,3.52
P0000098,S00008,Electronics,Accessories,149.37,112.94,7.58
P0000099,S00008,Sports,Team Sports,71.25,41.53,6.26
P0000100,S00008,Electronics,Accessories,114.68,83.3,8.48
P0000101,S00008,Electronics,Accessories,586.68,417.2,7.28
P0000102,S00008,Electronics,Computers,199.14,145.25,7.4
P0000103,S00008,Electronics,Computers,278.52,219.0,7.06
P0000104,S00008,Electronics,Computers,196.2,129.1,8.58
P0000105,S00008,Electronics,Audio,341.37,222.98,8.63
P0000106,S00008,Electronics,Audio,214.21,169.91,8.13
P0000107,S00008,Electronics,Computers,142.32,107.91,8.64
P0000108,S00008,Electronics,Audio,331.34,247.48,7.58
P0000109,S00008,Toys,STEM,33.11,13.74,3.64
P0000110,S00008,Electronics,Accessories,340.1,241.23,6.96
P0000111,S00008,Electronics,Computers,227.5,157.73,6.28
P0000112,S00008,Toys,Action Figures,46.84,22.73,4.79
P0000113,S00008,Sports,Cycling,87.26,47.09,8.0
P0000114,S00008,Electronics,Computers,122.86,84.46,7.76
P0000115,S00008,Electronics,Audio,720.26,531.85,7.6
P0000116,S00008,Sports,Cycling,79.27,43.37,5.23
P0000117,S00008,Electronics,Audio,341.02,249.43,7.48
P0000118,S00008,Electronics,Accessories,90.99,67.03,6.72
P0000119,S00008,Electronics,Accessories,209.33,144.62,7.06
P0000120,S00008,Electronics,Phones,454.65,319.81,9.61
P0000121,S00009,Fashion,Men,49.36,19.76,4.86
P0000122,S00009,Fashion,Accessories,37.19,17.22,4.32
P0000123,S00009,Beauty,Makeup,66.28,28.64,2.8
P0000124,S00009,Fashion,Accessories,90.06,46.43,4.9
P0000125,S00009,Fashion,Accessories,37.33,16.77,4.92
P0000126,S00009,Fashion,Accessories,77.51,42.92,3.45
P0000127,S00009,Fashion,Shoes,56.89,23.67,3.61
P0000128,S00009,Toys,Educational,31.05,14.61,3.76
P0000129,S00009,Fashion,Men,89.39,44.36,4.28
P0000130,S00009,Fashion,Accessories,38.02,21.69,4.11
P0000131,S00009,Fashion,Accessories,61.9,23.72,3.55
P0000132,S00009,Beauty,Makeup,32.66,16.39,2.59
P0000133,S00009,Home,Decor,73.8,43.86,8.48
P0000134,S00009,Fashion,Accessories,45.47,20.22,3.88
P0000135,S00009,Electronics,Audio,171.0,112.59,7.74
P0000136,S00009,Fashion,Men,144.9,63.61,4.28
P0000137,S00009,Fashion,Accessories,53.82,24.53,5.35
P0000138,S00009,Fashion,Accessories,51.07,23.07,4.39
P0000139,S00009,Fashion,Men,57.1,26.42,4.57
P0000140,S00009,Home,Kitchen,115.06,75.26,8.37
P0000141,S00010,Sports,Outdoor,58.57,33.79,7.39
P0000142,S00010,Sports,Cycling,64.19,35.89,5.41
P0000143,S00010,Sports,Cycling,61.41,32.65,7.9
P0000144,S00010,Electronics,Phones,831.31,578.72,7.0
P0000145,S00010,Sports,Outdoor,164.79,96.63,5.1
P0000146,S00010,Sports,Cycling,114.52,61.0,7.72
P0000147,S00010,Sports,Outdoor,76.36,42.48,7.26
P0000148,S00010,Sports,Cycling,115.64,65.04,6.96
P0000149,S00010,Sports,Outdoor,89.34,43.69,5.22
P0000150,S00010,Sports,Cycling,94.53,62.69,5.3
P0000151,S00010,Sports,Cycling,42.87,23.04,5.45
P0000152,S00010,Sports,Outdoor,102.58,62.44,6.58
P0000153,S00010,Sports,Team Sports,99.3,60.21,5.82
P0000154,S00010,Sports,Cycling,58.48,35.24,6.5
P0000155,S00010,Sports,Fitness,83.66,47.34,6.29
P0000156,S00010,Sports,Outdoor,98.3,57.84,7.01
P0000157,S00010,Digital Goods,Gaming,31.96,11.83,0.7
P0000158,S00010,Digital Goods,Courses,65.74,26.77,0.9
P0000159,S00010,Sports,Fitness,72.2,39.06,7.94
P0000160,S00011,Toys,Action Figures,22.86,11.61,4.77
P0000161,S00011,Toys,Puzzles,23.55,13.37,5.26
P0000162,S00011,Toys,Action Figures,50.81,27.19,5.33
P0000163,S00011,Digital Goods,Courses,36.42,13.48,0.83
P0000164,S00011,Toys,Action Figures,36.77,19.88,4.22
P0000165,S00011,Toys,Educational,33.08,15.65,4.37
P0000166,S00011,Toys,Educational,49.69,30.66,4.68
P0000167,S00011,Toys,Puzzles,31.7,17.87,3.8
P0000168,S00011,Toys,Action Figures,38.12,19.66,4.82
P0000169,S00011,Electronics,Computers,196.2,148.76,8.81
P0000170,S00011,Toys,Action Figures,72.71,42.6,5.24
P0000171,S00012,Digital Goods,Courses,90.77,35.5,0.73
P0000172,S00012,Home,Kitchen,69.95,33.96,8.13
P0000173,S00012,Home,Decor,40.55,24.05,8.78
P0000174,S00012,Home,Storage,88.03,46.64,8.9
P0000175,S00013,Toys,STEM,36.61,18.16,4.66
P0000176,S00013,Home,Decor,67.65,44.26,9.98
P0000177,S00013,Toys,Action Figures,45.76,24.12,4.55
P0000178,S00013,Sports,Cycling,84.77,49.33,7.36
P0000179,S00013,Home,Kitchen,113.03,69.42,7.41
P0000180,S00013,Home,Furniture,66.97,38.18,10.64
P0000181,S00013,Home,Kitchen,128.6,75.16,9.89
P0000182,S00013,Home,Kitchen,91.62,50.57,8.08
P0000183,S00013,Home,Decor,96.45,56.98,8.96
P0000184,S00013,Home,Kitchen,73.19,43.39,8.56
P0000185,S00013,Digital Goods,Gaming,76.46,28.29,1.02
P0000186,S00013,Home,Furniture,51.49,26.57,10.21
P0000187,S00013,Home,Storage,100.78,52.84,9.19
P0000188,S00013,Home,Storage,85.29,42.05,9.79
P0000189,S00013,Grocery,Snacks,24.86,18.98,3.35
P0000190,S00013,Home,Storage,67.49,41.91,10.38
P0000191,S00013,Home,Furniture,108.67,59.05,9.71
P0000192,S00014,Digital Goods,Software,41.58,15.76,0.74
P0000193,S00014,Digital Goods,Gaming,80.54,29.8,1.01
P0000194,S00014,Digital Goods,Subscriptions,50.2,20.76,0.98
P0000195,S00014,Digital Goods,Gaming,52.13,23.59,0.77
P0000196,S00014,Digital Goods,Gaming,66.2,24.49,0.71
P0000197,S00014,Digital Goods,Courses,82.26,32.78,0.77
P0000198,S00014,Digital Goods,Courses,77.65,28.73,0.69
P0000199,S00014,Digital Goods,Software,75.3,29.01,0.66
P0000200,S00014,Digital Goods,Subscriptions,43.53,16.11,0.9
P0000201,S00014,Digital Goods,Subscriptions,97.11,36.54,0.69
P0000202,S00014,Digital Goods,Software,46.12,19.82,0.67
P0000203,S00015,Sports,Fitness,69.73,37.29,7.35
P0000204,S00015,Fashion,Accessories,52.18,23.16,4.52
P0000205,S00015,Beauty,Makeup,43.9,17.66,3.11
P0000206,S00015,Fashion,Shoes,51.07,26.42,5.21
P0000207,S00015,Grocery,Beverages,24.79,16.14,3.01
P0000208,S00015,Sports,Cycling,79.35,48.56,7.88
P0000209,S00015,Fashion,Shoes,34.19,15.55,3.61
P0000210,S00015,Toys,Puzzles,65.9,36.51,3.9
P0000211,S00015,Beauty,Wellness,27.55,13.21,3.75
P0000212,S00015,Fashion,Men,90.9,40.51,4.78
P0000213,S00015,Fashion,Shoes,31.25,12.97,3.69
P0000214,S00015,Grocery,Household,14.35,9.8,3.34
P0000215,S00016,Beauty,Wellness,53.53,28.24,3.8
P0000216,S00016,Grocery,Beverages,21.59,15.95,2.77
P0000217,S00016,Beauty,Skincare,23.74,13.5,3.11
P0000218,S00016,Beauty,Makeup,24.49,12.03,3.94
P0000219,S00016,Electronics,Phones,177.79,137.59,6.93
P0000220,S00016,Beauty,Hair,23.99,10.66,3.65
P0000221,S00016,Beauty,Hair,53.24,24.29,3.77
P0000222,S00016,Beauty,Skincare,34.92,18.06,3.6
P0000223,S00016,Beauty,Hair,30.95,15.62,3.22
P0000224,S00016,Beauty,Hair,26.01,13.19,2.64
P0000225,S00016,Beauty,Hair,32.38,15.98,3.77
P0000226,S00016,Electronics,Computers,307.44,235.38,8.32
P0000227,S00017,Sports,Team Sports,55.6,29.04,7.53
P0000228,S00017,Sports,Team Sports,54.18,34.7,5.33
P0000229,S00017,Sports,Cycling,98.91,54.98,5.55
P0000230,S00017,Sports,Fitness,53.44,33.5,7.3
P0000231,S00017,Sports,Outdoor,39.54,21.36,5.26
P0000232,S00017,Sports,Fitness,50.09,27.4,6.64
P0000233,S00017,Sports,Fitness,79.5,45.37,5.75
P0000234,S00017,Sports,Outdoor,67.46,34.49,5.74
P0000235,S00018,Digital Goods,Software,52.46,19.81,0.89
P0000236,S00018,Digital Goods,Courses,45.08,16.68,0.67
P0000237,S00018,Digital Goods,Software,75.96,28.18,0.88
P0000238,S00018,Digital Goods,Software,78.19,28.93,0.8
P0000239,S00018,Digital Goods,Subscriptions,152.24,56.33,0.78
P0000240,S00018,Digital Goods,Subscriptions,61.71,22.83,0.72
P0000241,S00018,Digital Goods,Subscriptions,39.03,14.44,0.9
P0000242,S00018,Digital Goods,Gaming,63.6,23.53,0.7
P0000243,S00018,Digital Goods,Courses,34.83,16.43,0.75
P0000244,S00018,Digital Goods,Subscriptions,57.73,21.36,1.03
P0000245,S00018,Digital Goods,Subscriptions,84.29,42.36,1.0
P0000246,S00018,Digital Goods,Subscriptions,51.14,18.92,0.95
P0000247,S00018,Digital Goods,Software,124.37,49.17,1.02
P0000248,S00018,Digital Goods,Gaming,45.98,20.95,0.94
P0000249,S00018,Digital Goods,Subscriptions,78.75,30.82,0.68
P0000250,S00018,Digital Goods,Gaming,41.25,15.27,0.84
P0000251,S00019,Sports,Fitness,83.72,54.98,5.26
P0000252,S00019,Toys,STEM,23.47,14.63,4.0
P0000253,S00019,Toys,STEM,18.12,10.56,3.37
P0000254,S00019,Toys,Puzzles,40.49,25.84,5.14
P0000255,S00019,Toys,STEM,41.73,29.72,4.27
P0000256,S00019,Toys,Action Figures,32.4,20.33,3.84
P0000257,S00019,Toys,Educational,32.13,20.74,4.83
P0000258,S00019,Toys,Action Figures,56.79,36.81,4.53
P0000259,S00019,Toys,Educational,51.44,33.74,4.81
P0000260,S00019,Toys,STEM,58.62,37.33,3.49
P0000261,S00019,Toys,STEM,36.32,21.73,5.06
P0000262,S00019,Toys,STEM,68.01,43.88,3.56
P0000263,S00019,Toys,Action Figures,52.03,34.8,3.39
P0000264,S00019,Toys,Puzzles,52.12,30.54,5.29
P0000265,S00019,Toys,Puzzles,44.27,30.03,4.84
P0000266,S00019,Toys,Action Figures,31.31,20.56,3.75
P0000267,S00019,Toys,Educational,44.28,30.42,4.41
P0000268,S00019,Toys,STEM,39.08,22.53,3.89
P0000269,S00019,Toys,Puzzles,41.13,26.27,4.95
P0000270,S00019,Toys,Educational,59.54,31.63,4.93
P0000271,S00019,Toys,Action Figures,41.57,26.62,5.22
P0000272,S00020,Electronics,Computers,174.63,139.88,9.25
P0000273,S00020,Electronics,Accessories,153.79,124.04,7.51
P0000274,S00020,Electronics,Audio,204.26,161.23,7.23
P0000275,S00020,Beauty,Wellness,43.02,24.8,2.91
P0000276,S00020,Electronics,Phones,188.87,149.29,9.23
P0000277,S00020,Electronics,Accessories,228.3,168.57,9.33
P0000278,S00020,Toys,Educational,51.16,34.35,4.33
P0000279,S00020,Electronics,Accessories,361.57,319.26,9.52
P0000280,S00020,Fashion,Shoes,56.67,33.98,4.06
P0000281,S00020,Electronics,Phones,131.46,109.88,6.33
P0000282,S00020,Electronics,Computers,268.38,223.24,7.82
P0000283,S00020,Grocery,Snacks,16.97,13.42,3.04
P0000284,S00020,Digital Goods,Courses,151.18,75.05,0.72
P0000285,S00021,Toys,Educational,49.7,34.95,3.79
P0000286,S00021,Toys,Educational,22.95,16.83,3.44
P0000287,S00021,Toys,Educational,34.06,19.8,5.18
P0000288,S00021,Home,Storage,67.48,49.35,10.45
P0000289,S00021,Toys,STEM,34.79,21.16,4.75
P0000290,S00021,Toys,Puzzles,39.82,27.68,3.72
P0000291,S00021,Toys,Action Figures,29.59,21.41,5.22
P0000292,S00021,Toys,Puzzles,49.54,33.28,4.63
P0000293,S00021,Digital Goods,Software,69.95,32.06,0.68
P0000294,S00021,Toys,Educational,84.45,56.32,5.28
P0000295,S00021,Toys,Educational,45.27,28.09,3.67
P0000296,S00021,Toys,STEM,56.69,37.53,4.92
P0000297,S00021,Electronics,Accessories,348.6,258.93,8.83
P0000298,S00021,Toys,Puzzles,22.63,12.69,4.24
P0000299,S00021,Toys,Educational,32.66,19.82,4.16
P0000300,S00021,Beauty,Skincare,33.5,20.75,2.94
P0000301,S00021,Toys,Educational,72.15,44.21,5.24
P0000302,S00021,Fashion,Men,52.99,30.18,4.26
P0000303,S00021,Toys,Action Figures,46.19,32.67,3.44
P0000304,S00021,Toys,Puzzles,39.79,24.49,3.97
P0000305,S00021,Toys,Puzzles,52.93,32.83,4.2
P0000306,S00021,Toys,Puzzles,70.79,42.76,3.94
P0000307,S00021,Toys,Action Figures,34.99,21.21,4.02
P0000308,S00021,Fashion,Men,74.98,45.21,3.73
P0000309,S00021,Beauty,Skincare,62.45,34.85,3.92
P0000310,S00021,Toys,STEM,40.8,28.07,4.79
P0000311,S00021,Toys,Puzzles,31.67,19.22,3.88
P0000312,S00021,Toys,Action Figures,30.78,22.25,5.05
P0000313,S00021,Toys,Educational,52.35,32.51,5.1
P0000314,S00021,Toys,Educational,35.27,24.65,4.29
P0000315,S00021,Toys,STEM,60.08,37.09,3.69
P0000316,S00021,Toys,Action Figures,91.86,55.48,3.39
P0000317,S00021,Toys,Action Figures,39.95,24.45,4.72
P0000318,S00021,Toys,STEM,44.93,30.11,4.8
P0000319,S00021,Fashion,Shoes,63.07,32.72,3.48
P0000320,S00021,Toys,Puzzles,48.4,30.78,5.26
P0000321,S00021,Toys,Puzzles,37.27,20.68,3.63
P0000322,S00021,Toys,Educational,15.91,9.58,4.66
P0000323,S00021,Toys,Action Figures,25.72,17.1,3.61
P0000324,S00021,Toys,STEM,41.29,27.94,4.33
P0000325,S00021,Grocery,Snacks,25.09,19.56,2.32
P0000326,S00021,Toys,Action Figures,50.02,32.0,4.58
P0000327,S00021,Toys,STEM,45.09,29.51,3.59
P0000328,S00021,Toys,STEM,53.5,34.24,4.35
P0000329,S00021,Toys,Educational,59.3,39.65,3.6
P0000330,S00021,Toys,Educational,54.83,36.41,5.05
P0000331,S00021,Beauty,Hair,46.73,24.5,3.61
P0000332,S00021,Toys,Action Figures,25.99,16.78,3.84
P0000333,S00021,Toys,Educational,28.96,18.24,4.98
P0000334,S00021,Toys,Puzzles,47.37,27.57,4.4
P0000335,S00021,Toys,Action Figures,59.09,35.27,4.17
P0000336,S00021,Toys,STEM,55.66,33.21,4.37
P0000337,S00021,Beauty,Makeup,37.78,23.36,2.62
P0000338,S00021,Toys,STEM,35.04,24.38,3.48
P0000339,S00022,Sports,Cycling,56.65,40.94,6.32
P0000340,S00022,Beauty,Wellness,35.16,19.9,2.97
P0000341,S00022,Sports,Fitness,39.26,28.9,6.16
P0000342,S00022,Sports,Cycling,79.43,50.99,7.52
P0000343,S00022,Sports,Team Sports,58.42,41.1,7.58
P0000344,S00022,Fashion,Shoes,69.55,43.43,3.89
P0000345,S00022,Sports,Outdoor,100.28,67.24,6.57
P0000346,S00022,Sports,Cycling,80.22,51.74,6.88
P0000347,S00022,Sports,Fitness,105.62,82.77,5.34
P0000348,S00022,Sports,Outdoor,84.13,51.4,7.24
P0000349,S00022,Sports,Team Sports,174.14,122.9,7.79
P0000350,S00022,Sports,Fitness,60.21,35.85,5.45
P0000351,S00022,Sports,Cycling,66.15,47.46,6.9
P0000352,S00022,Sports,Outdoor,51.57,37.0,5.87
P0000353,S00022,Sports,Fitness,91.45,58.67,7.94
P0000354,S00022,Electronics,Phones,316.62,251.89,7.62
P0000355,S00022,Sports,Fitness,44.26,30.48,5.43
P0000356,S00022,Sports,Cycling,100.4,63.03,5.26
P0000357,S00022,Sports,Cycling,77.84,47.41,7.94
P0000358,S00022,Sports,Fitness,26.1,18.7,6.76
P0000359,S00022,Sports,Outdoor,87.1,62.28,6.81
P0000360,S00022,Toys,Action Figures,31.23,19.39,4.52
P0000361,S00022,Electronics,Accessories,121.33,96.21,9.6
P0000362,S00022,Electronics,Computers,212.74,171.68,8.02
P0000363,S00022,Home,Decor,126.68,84.08,7.32
P0000364,S00022,Sports,Fitness,77.65,48.06,5.76
P0000365,S00022,Sports,Fitness,121.62,93.4,6.29
P0000366,S00022,Sports,Cycling,73.43,49.7,5.28
P0000367,S00022,Sports,Fitness,84.74,58.79,6.12
P0000368,S00023,Sports,Team Sports,115.14,79.21,6.84
P0000369,S00023,Toys,Educational,27.5,18.56,4.6
P0000370,S00023,Digital Goods,Courses,30.96,15.63,1.0
P0000371,S00023,Grocery,Beverages,31.62,23.0,2.77
P0000372,S00023,Grocery,Beverages,17.51,14.37,2.98
P0000373,S00023,Grocery,Household,11.17,9.3,2.86
P0000374,S00023,Grocery,Snacks,23.1,17.45,3.26
P0000375,S00023,Beauty,Makeup,40.32,25.8,3.9
P0000376,S00023,Grocery,Beverages,10.9,8.6,2.41
P0000377,S00023,Grocery,Snacks,24.37,20.43,3.04
P0000378,S00023,Grocery,Household,20.41,17.94,3.08
P0000379,S00023,Toys,STEM,31.8,21.61,4.44
P0000380,S00023,Grocery,Household,28.8,21.16,3.25
P0000381,S00023,Grocery,Pantry,31.9,24.95,3.05
P0000382,S00023,Grocery,Snacks,31.47,20.86,2.34
P0000383,S00023,Grocery,Household,23.45,16.54,3.51
P0000384,S00023,Grocery,Beverages,20.41,16.59,2.63
P0000385,S00023,Grocery,Pantry,34.66,28.14,3.39
P0000386,S00023,Home,Decor,87.41,66.04,11.15
P0000387,S00023,Grocery,Pantry,24.51,18.55,3.02
P0000388,S00023,Grocery,Snacks,12.84,10.65,3.37
P0000389,S00024,Electronics,Accessories,250.33,204.63,8.51
P0000390,S00024,Electronics,Phones,264.84,212.58,8.55
P0000391,S00024,Electronics,Audio,180.34,157.43,9.73
P0000392,S00024,Fashion,Shoes,41.38,23.51,3.68
P0000393,S00024,Electronics,Computers,266.2,229.07,8.97
P0000394,S00025,Digital Goods,Software,57.77,23.91,0.94
P0000395,S00025,Digital Goods,Gaming,51.05,18.89,0.73
P0000396,S00025,Digital Goods,Subscriptions,60.88,23.03,0.86
P0000397,S00025,Digital Goods,Gaming,110.19,44.0,1.0
P0000398,S00025,Digital Goods,Software,31.71,11.95,0.76
P0000399,S00025,Digital Goods,Subscriptions,51.3,18.98,0.7
P0000400,S00025,Digital Goods,Gaming,45.16,19.7,0.85
P0000401,S00025,Digital Goods,Software,67.37,24.93,0.68
P0000402,S00025,Digital Goods,Subscriptions,162.44,73.08,1.0
P0000403,S00025,Digital Goods,Software,107.48,45.94,0.66
P0000404,S00025,Digital Goods,Gaming,69.37,28.8,0.82
P0000405,S00026,Grocery,Household,27.89,19.64,2.99
P0000406,S00026,Grocery,Snacks,19.69,13.91,2.83
P0000407,S00026,Grocery,Snacks,17.0,9.93,2.63
P0000408,S00026,Grocery,Beverages,30.5,20.79,3.15
P0000409,S00026,Grocery,Household,25.81,18.38,2.84
P0000410,S00026,Grocery,Beverages,27.01,15.76,2.4
P0000411,S00026,Fashion,Women,48.72,22.4,3.95
P0000412,S00026,Home,Decor,83.65,50.96,9.92
P0000413,S00026,Grocery,Beverages,20.58,14.91,2.39
P0000414,S00026,Grocery,Pantry,25.11,17.92,2.46
P0000415,S00026,Grocery,Beverages,23.39,15.5,2.31
P0000416,S00026,Grocery,Household,14.29,9.41,3.03
P0000417,S00026,Grocery,Pantry,16.45,11.87,3.03
P0000418,S00026,Grocery,Pantry,20.26,13.15,2.44
P0000419,S00026,Grocery,Pantry,19.61,11.74,2.26
P0000420,S00026,Digital Goods,Gaming,45.89,16.98,0.7
P0000421,S00026,Grocery,Snacks,21.83,14.84,2.3
P0000422,S00026,Grocery,Beverages,22.68,13.38,3.29
P0000423,S00026,Home,Furniture,134.31,80.8,11.06
P0000424,S00026,Sports,Fitness,35.51,19.99,7.21
P0000425,S00026,Grocery,Beverages,24.83,18.23,3.19
P0000426,S00026,Grocery,Household,11.09,7.93,3.37
P0000427,S00026,Grocery,Beverages,28.53,18.71,2.39
P0000428,S00026,Grocery,Beverages,11.79,8.37,3.31
P0000429,S00026,Grocery,Pantry,17.75,12.98,2.86
P0000430,S00026,Grocery,Pantry,29.17,18.57,3.45
P0000431,S00026,Grocery,Beverages,16.31,11.09,2.32
P0000432,S00026,Home,Decor,269.05,146.77,9.55
P0000433,S00026,Grocery,Snacks,18.32,11.73,2.54
P0000434,S00026,Grocery,Snacks,23.69,16.97,3.47
P0000435,S00026,Grocery,Beverages,14.43,10.11,3.28
P0000436,S00026,Grocery,Snacks,27.77,20.18,3.05
P0000437,S00026,Grocery,Pantry,27.48,17.6,2.42
P0000438,S00026,Grocery,Household,13.19,8.67,2.65
P0000439,S00026,Grocery,Pantry,21.07,13.18,3.46
P0000440,S00026,Sports,Outdoor,58.73,33.82,7.48
P0000441,S00026,Grocery,Beverages,15.19,10.06,2.9
P0000442,S00026,Grocery,Beverages,32.91,25.22,3.47
P0000443,S00026,Grocery,Beverages,20.69,13.27,3.21
P0000444,S00026,Beauty,Makeup,13.8,7.05,3.65
P0000445,S00026,Beauty,Wellness,44.59,21.23,3.75
P0000446,S00026,Grocery,Snacks,20.14,11.73,2.34
P0000447,S00026,Beauty,Skincare,45.95,18.78,3.34
P0000448,S00026,Grocery,Beverages,17.91,10.43,2.96
P0000449,S00026,Grocery,Beverages,21.16,15.67,3.01
P0000450,S00027,Grocery,Beverages,21.53,15.18,2.86
P0000451,S00027,Grocery,Beverages,19.3,13.08,2.36
P0000452,S00027,Grocery,Pantry,22.18,14.66,3.41
P0000453,S00027,Grocery,Household,22.26,15.5,2.52
P0000454,S00027,Grocery,Pantry,19.22,12.15,2.53
P0000455,S00027,Grocery,Snacks,39.31,29.99,2.94
P0000456,S00027,Grocery,Beverages,33.75,25.14,3.5
