entity_type,entity_id,priority_score,risk_tier,main_risk_driver,recommended_action,owner_team,sla_days,estimated_leakage_proxy,estimated_margin_proxy,gross_value,net_value,risk_adjusted_value,record_source,priority_rank,status,next_review_step
seller,S00593,65.45727374945594,High,seller_quality,audit seller operations,Seller Operations,7,7069.5199999999995,-5344.65,14008.960000000001,13010.19,12480.652424896389,seller_scorecard + order_profitability_features,11,open,assign owner and execute recommended action within SLA
seller,S00800,65.40736503090893,High,seller_quality,audit seller operations,Seller Operations,7,16161.78,-12245.98,38348.14,35535.2,34268.11614869452,seller_scorecard + order_profitability_features,12,open,assign owner and execute recommended action within SLA
seller,S00785,65.36401751844446,High,seller_quality,audit seller operations,Seller Operations,7,8863.52,-6281.55,26662.14,24123.35,23250.71648560991,seller_scorecard + order_profitability_features,13,open,assign owner and execute recommended action within SLA
seller,S01094,65.21902676126982,High,seller_quality,audit seller operations,Seller Operations,7,14285.27,-10907.65,40450.76,36141.42,35022.192968139076,seller_scorecard + order_profitability_features,14,open,assign owner and execute recommended action within SLA
seller,S01056,64.87998167609963,High,seller_quality,audit seller operations,Seller Operations,7,25943.089999999997,-19079.81,71595.54,66220.71,63860.55600304939,seller_scorecard + order_profitability_features,15,open,assign owner and execute recommended action within SLA
seller,S00193,64.75209568769426,High,seller_quality,audit seller operations,Seller Operations,7,12199.980000000001,-9220.39,34444.12,30770.52,29773.115174782233,seller_scorecard + order_profitability_features,16,open,assign owner and execute recommended action within SLA
seller,S00575,64.57108965668932,High,seller_quality,audit seller operations,Seller Operations,7,14476.519999999999,-10464.56,32007.79,29634.65,28313.28129520878,seller_scorecard + order_profitability_features,17,open,assign owner and execute recommended action within SLA
seller,S00251,64.182264141865,High,seller_quality,audit seller operations,Seller Operations,7,108327.30999999998,-81294.81999999999,286614.29,266455.65,256820.68932524533,seller_scorecard + order_profitability_features,18,open,assign owner and execute recommended action within SLA
seller,S00858,64.12157338634862,High,seller_quality,audit seller operations,Seller Operations,7,21239.91,-15731.73,54834.64,51823.14,49962.88308363316,seller_scorecard + order_profitability_features,19,open,assign owner and execute recommended action within SLA
seller,S00865,63.54376485875416,High,seller_quality,audit seller operations,Seller Operations,7,10172.71,-7007.18,23814.9,21764.07,20737.842767668684,seller_scorecard + order_profitability_features,20,open,assign owner and execute recommended action within SLA
seller,S00346,63.31222289927264,High,seller_quality,audit seller operations,Seller Operations,7,46548.89,-36249.72,136922.06,127896.91,124127.64197399696,seller_scorecard + order_profitability_features,21,open,assign owner and execute recommended action within SLA
seller,S00119,63.17144092339959,High,seller_quality,audit seller operations,Seller Operations,7,22449.28,-17681.87,59816.86,54608.8,52825.33734041613,seller_scorecard + order_profitability_features,22,open,assign owner and execute recommended action within SLA
seller,S00470,62.45466339185046,High,concentration_risk,investigate dispute cluster,Marketplace Governance,7,18735.4,-14393.86,51843.3,46914.05,45435.746120850745,seller_scorecard + order_profitability_features,23,open,assign owner and execute recommended action within SLA
seller,S00194,62.42772176987861,High,seller_quality,audit seller operations,Seller Operations,7,33226.68,-20985.89,89982.64,83556.63,79927.5900903898,seller_scorecard + order_profitability_features,24,open,assign owner and execute recommended action within SLA
seller,S00080,62.42318343249811,High,seller_quality,audit seller operations,Seller Operations,7,7749.110000000001,-5151.76,24653.31,22491.1,21782.213150143823,seller_scorecard + order_profitability_features,25,open,assign owner and execute recommended action within SLA
seller,S00386,61.93279510729502,High,seller_quality,audit seller operations,Seller Operations,7,37854.82,-27230.09,107265.29,100165.03,96536.38406100553,seller_scorecard + order_profitability_features,26,open,assign owner and execute recommended action within SLA
seller,S00602,61.930725360413845,High,seller_quality,audit seller operations,Seller Operations,7,20317.989999999998,-15595.71,58876.24,54051.28,52584.312588435896,seller_scorecard + order_profitability_features,27,open,assign owner and execute recommended action within SLA
seller,S00461,61.80313617085787,High,seller_quality,audit seller operations,Seller Operations,7,7774.6900000000005,-5235.54,19807.16,18795.6,18018.977461342278,seller_scorecard + order_profitability_features,28,open,assign owner and execute recommended action within SLA
seller,S00069,61.53575241417504,High,seller_quality,audit seller operations,Seller Operations,7,9252.2,-4765.66,32663.1,29921.55,28692.05448334805,seller_scorecard + order_profitability_features,29,open,assign owner and execute recommended action within SLA
seller,S00184,61.53282520203883,High,seller_quality,audit seller operations,Seller Operations,7,87926.5,-66871.91,257311.24,241368.55,233875.9607580947,seller_scorecard + order_profitability_features,30,open,assign owner and execute recommended action within SLA
seller,S00804,61.368622416797635,High,seller_quality,audit seller operations,Seller Operations,7,116539.77,-89047.87,347980.09,324467.87,314649.8368035158,seller_scorecard + order_profitability_features,31,open,assign owner and execute recommended action within SLA
seller,S01070,61.35236670382985,High,seller_quality,audit seller operations,Seller Operations,7,8689.679999999998,-6418.4800000000005,18731.19,17022.31,16264.48272882178,seller_scorecard + order_profitability_features,32,open,assign owner and execute recommended action within SLA
seller,S00444,61.11195157001638,High,seller_quality,audit seller operations,Seller Operations,7,71958.7,-49358.79,204641.63,190146.73,182664.8862078201,seller_scorecard + order_profitability_features,33,open,assign owner and execute recommended action within SLA
seller,S00450,61.10644885927745,High,seller_quality,audit seller operations,Seller Operations,7,16277.640000000001,-10939.289999999999,46521.12,43070.63,41533.4798403078,seller_scorecard + order_profitability_features,34,open,assign owner and execute recommended action within SLA
seller,S01054,61.07497306512418,High,seller_quality,audit seller operations,Seller Operations,7,2639.6,-1678.65,7585.83,7012.12,6721.540599587734,seller_scorecard + order_profitability_features,35,open,assign owner and execute recommended action within SLA
seller,S00961,61.0382954114926,High,seller_quality,audit seller operations,Seller Operations,7,14213.61,-8658.01,41720.53,38586.26,36863.27746700334,seller_scorecard + order_profitability_features,36,open,assign owner and execute recommended action within SLA
seller,S00287,60.84938437572815,High,seller_quality,audit seller operations,Seller Operations,7,6671.950000000001,-4334.11,17442.46,16570.42,15878.439716863655,seller_scorecard + order_profitability_features,37,open,assign owner and execute recommended action within SLA
seller,S00369,60.556290981726704,High,seller_quality,audit seller operations,Seller Operations,7,2639.41,-1765.0800000000002,6175.32,5705.03,5437.195186295051,seller_scorecard + order_profitability_features,38,open,assign owner and execute recommended action within SLA
seller,S00693,60.12657857055217,High,seller_quality,audit seller operations,Seller Operations,7,3309.02,-2089.88,8846.7,8119.96,7734.01214230376,seller_scorecard + order_profitability_features,39,open,assign owner and execute recommended action within SLA
seller,S00198,59.971324420865855,High,seller_quality,audit seller operations,Seller Operations,7,11604.57,-8083.34,33148.02,30847.09,29694.83756118851,seller_scorecard + order_profitability_features,40,open,assign owner and execute recommended action within SLA
seller,S00162,59.9029721744446,High,seller_quality,audit seller operations,Seller Operations,7,9262.75,-6174.45,28186.59,26198.68,25323.64350197279,seller_scorecard + order_profitability_features,41,open,assign owner and execute recommended action within SLA
seller,S00556,59.82392257635725,High,seller_quality,audit seller operations,Seller Operations,7,14167.17,-8989.85,43043.87,40007.64,38463.51669701354,seller_scorecard + order_profitability_features,42,open,assign owner and execute recommended action within SLA
seller,S00395,59.80383879114608,High,seller_quality,audit seller operations,Seller Operations,7,16464.07,-9876.48,52797.41,49013.42,47323.030054293406,seller_scorecard + order_profitability_features,43,open,assign owner and execute recommended action within SLA
seller,S01018,59.54518015175046,High,seller_quality,audit seller operations,Seller Operations,7,9676.61,-7225.129999999999,21453.3,19836.29,19085.305375857326,seller_scorecard + order_profitability_features,44,open,assign owner and execute recommended action within SLA
seller,S00722,59.45613243402795,High,concentration_risk,investigate dispute cluster,Marketplace Governance,7,35606.85,-24980.5,108369.57,101222.07,97715.54536244561,seller_scorecard + order_profitability_features,45,open,assign owner and execute recommended action within SLA
seller,S00219,59.37565320044889,High,seller_quality,audit seller operations,Seller Operations,7,2100.2,-1395.84,5515.22,4997.32,4782.030423419208,seller_scorecard + order_profitability_features,46,open,assign owner and execute recommended action within SLA
seller,S00151,59.3357865371578,High,seller_quality,audit seller operations,Seller Operations,7,11054.7,-7498.05,32856.05,30202.42,29158.276570153736,seller_scorecard + order_profitability_features,47,open,assign owner and execute recommended action within SLA
seller,S00496,59.32828993290471,High,seller_quality,audit seller operations,Seller Operations,7,55789.03999999999,-40188.19,165939.17,149485.28,145180.03429782673,seller_scorecard + order_profitability_features,48,open,assign owner and execute recommended action within SLA
seller,S00186,59.31807945361429,High,seller_quality,audit seller operations,Seller Operations,7,38379.19,-26623.02,103810.67,96198.78,92376.09540919847,seller_scorecard + order_profitability_features,49,open,assign owner and execute recommended action within SLA
seller,S00916,59.29057194407606,High,seller_quality,audit seller operations,Seller Operations,7,7690.37,-5339.04,20292.58,18396.73,17668.785765555047,seller_scorecard + order_profitability_features,50,open,assign owner and execute recommended action within SLA
seller,S00122,59.20992112484015,High,seller_quality,audit seller operations,Seller Operations,7,6877.13,-4615.93,20007.07,18331.86,17646.957960865842,seller_scorecard + order_profitability_features,51,open,assign owner and execute recommended action within SLA
seller,S00819,59.16038176745158,High,concentration_risk,investigate dispute cluster,Marketplace Governance,7,101153.84,-76356.75,325431.78,303831.15,294773.6307473461,seller_scorecard + order_profitability_features,52,open,assign owner and execute recommended action within SLA
seller,S00178,58.920855199301386,High,concentration_risk,investigate dispute cluster,Marketplace Governance,7,31903.510000000002,-22471.16,83132.13,77617.75,74490.45709964573,seller_scorecard + order_profitability_features,53,open,assign owner and execute recommended action within SLA
seller,S00322,58.84784023756269,High,concentration_risk,investigate dispute cluster,Marketplace Governance,7,40057.01,-26596.59,140520.76,130386.62,126005.3371763326,seller_scorecard + order_profitability_features,54,open,assign owner and execute recommended action within SLA
seller,S01169,58.815617214993736,High,seller_quality,audit seller operations,Seller Operations,7,9696.76,-7129.26,22036.05,20306.82,19477.415447313237,seller_scorecard + order_profitability_features,55,open,assign owner and execute recommended action within SLA
seller,S00016,58.59633085756322,High,seller_quality,audit seller operations,Seller Operations,7,6528.7300000000005,-4316.12,18831.079999999998,17373.82,16654.642836834286,seller_scorecard + order_profitability_features,56,open,assign owner and execute recommended action within SLA
seller,S00320,58.57503907036795,High,seller_quality,audit seller operations,Seller Operations,7,4191.4400000000005,-2917.14,9359.69,8786.14,8373.099710258599,seller_scorecard + order_profitability_features,57,open,assign owner and execute recommended action within SLA
seller,S00415,58.53399705693074,High,seller_quality,audit seller operations,Seller Operations,7,4041.9,-2779.86,12013.3,10929.03,10527.952122786262,seller_scorecard + order_profitability_features,58,open,assign owner and execute recommended action within SLA
seller,S00364,58.45468910894611,High,concentration_risk,investigate dispute cluster,Marketplace Governance,7,95243.87,-70207.14,299020.82,275406.68,268386.00409924804,seller_scorecard + order_profitability_features,59,open,assign owner and execute recommended action within SLA
seller,S00855,58.42665847767661,High,concentration_risk,investigate dispute cluster,Marketplace Governance,7,26960.879999999997,-18348.86,87817.62,80782.43,78012.86466927022,seller_scorecard + order_profitability_features,60,open,assign owner and execute recommended action within SLA
seller,S00215,58.39985535625292,High,seller_quality,audit seller operations,Seller Operations,7,4664.78,-2730.33,16536.19,15350.61,14755.053497864119,seller_scorecard + order_profitability_features,61,open,assign owner and execute recommended action within SLA
seller,S00161,58.258927946634,High,seller_quality,audit seller operations,Seller Operations,7,2055.81,-1497.26,5085.7,4645.82,4467.478961964465,seller_scorecard + order_profitability_features,62,open,assign owner and execute recommended action within SLA
seller,S00006,58.20127519897924,High,seller_quality,audit seller operations,Seller Operations,7,5149.739999999999,-2963.17,19529.510000000002,18101.13,17425.478357808108,seller_scorecard + order_profitability_features,63,open,assign owner and execute recommended action within SLA
seller,S00093,58.190184192227456,High,seller_quality,audit seller operations,Seller Operations,7,7598.0,-5468.75,19907.37,18149.51,17550.054848694763,seller_scorecard + order_profitability_features,64,open,assign owner and execute recommended action within SLA
seller,S00876,58.1080319264953,High,seller_quality,audit seller operations,Seller Operations,7,19426.770000000004,-13086.91,47108.86,43772.81,41829.91152328334,seller_scorecard + order_profitability_features,65,open,assign owner and execute recommended action within SLA
seller,S00810,58.05399145673734,High,seller_quality,audit seller operations,Seller Operations,7,5617.95,-2704.9,23519.489999999998,22059.07,21178.186331076955,seller_scorecard + order_profitability_features,66,open,assign owner and execute recommended action within SLA
seller,S00213,57.97602394069973,High,seller_quality,audit seller operations,Seller Operations,7,12294.3,-8131.77,37453.93,33835.05,32519.265997447463,seller_scorecard + order_profitability_features,67,open,assign owner and execute recommended action within SLA
seller,S00216,57.93012947887429,High,seller_quality,audit seller operations,Seller Operations,7,80406.56,-58329.05,256960.7,242851.73,235784.71684976527,seller_scorecard + order_profitability_features,68,open,assign owner and execute recommended action within SLA
seller,S00544,57.89781634279403,High,seller_quality,audit seller operations,Seller Operations,7,1753.04,-1236.47,4718.57,4226.89,4059.9283994644893,seller_scorecard + order_profitability_features,69,open,assign owner and execute recommended action within SLA
seller,S00295,57.864312074824774,High,seller_quality,audit seller operations,Seller Operations,7,7914.71,-5064.41,22745.09,20807.1,20059.14361443631,seller_scorecard + order_profitability_features,70,open,assign owner and execute recommended action within SLA
seller,S00201,57.81912852093574,High,concentration_risk,investigate dispute cluster,Marketplace Governance,7,65054.549999999996,-43335.47,218441.43,204612.08,197466.3828641049,seller_scorecard + order_profitability_features,71,open,assign owner and execute recommended action within SLA
seller,S00900,57.80005797502645,High,seller_quality,audit seller operations,Seller Operations,7,11530.48,-7640.25,36190.04,34221.07,32962.99692566932,seller_scorecard + order_profitability_features,72,open,assign owner and execute recommended action within SLA
seller,S00253,57.73188087698814,High,seller_quality,audit seller operations,Seller Operations,7,16928.33,-11839.1,46276.82,42304.35,40810.778578283105,seller_scorecard + order_profitability_features,73,open,assign owner and execute recommended action within SLA
seller,S00905,57.66873768758799,High,seller_quality,audit seller operations,Seller Operations,7,3800.8500000000004,-2731.03,8305.86,7499.68,7165.261413723439,seller_scorecard + order_profitability_features,74,open,assign owner and execute recommended action within SLA
seller,S00830,57.649162903832945,High,seller_quality,audit seller operations,Seller Operations,7,11216.23,-6856.51,32084.18,29700.07,28309.80514716439,seller_scorecard + order_profitability_features,75,open,assign owner and execute recommended action within SLA
seller,S00823,57.584333341073325,High,seller_quality,audit seller operations,Seller Operations,7,7755.62,-3441.7000000000003,30381.13,28206.72,26998.68780176883,seller_scorecard + order_profitability_features,76,open,assign owner and execute recommended action within SLA
seller,S01074,57.53433348194787,High,seller_quality,audit seller operations,Seller Operations,7,12747.739999999998,-8594.5,40613.16,37112.66,36030.170479631306,seller_scorecard + order_profitability_features,77,open,assign owner and execute recommended action within SLA
seller,S00770,57.52436444782876,High,seller_quality,audit seller operations,Seller Operations,7,4238.650000000001,-3043.4,9436.17,8576.82,8200.793704691789,seller_scorecard + order_profitability_features,78,open,assign owner and execute recommended action within SLA
seller,S01078,57.510086242083275,High,seller_quality,audit seller operations,Seller Operations,7,32507.14,-21100.78,104317.72,97085.7,93396.66939961386,seller_scorecard + order_profitability_features,79,open,assign owner and execute recommended action within SLA
seller,S00987,57.42882559161988,High,seller_quality,audit seller operations,Seller Operations,7,5499.02,-3679.88,19764.64,18115.74,17623.955671754626,seller_scorecard + order_profitability_features,80,open,assign owner and execute recommended action within SLA
seller,S00271,57.21098393369264,High,seller_quality,audit seller operations,Seller Operations,7,4475.07,-2830.98,12791.65,11643.49,11145.071283303287,seller_scorecard + order_profitability_features,81,open,assign owner and execute recommended action within SLA
seller,S00639,56.83923766927971,High,seller_quality,audit seller operations,Seller Operations,7,4233.0599999999995,-2752.85,12422.31,11827.22,11381.36118332012,seller_scorecard + order_profitability_features,82,open,assign owner and execute recommended action within SLA
seller,S00889,56.827234663433295,High,seller_quality,audit seller operations,Seller Operations,7,11132.73,-6238.84,37436.86,34834.73,33424.54753335266,seller_scorecard + order_profitability_features,83,open,assign owner and execute recommended action within SLA
seller,S00939,56.77812719669727,High,seller_quality,audit seller operations,Seller Operations,7,3404.31,-2266.36,10201.56,9205.8,8850.569486912638,seller_scorecard + order_profitability_features,84,open,assign owner and execute recommended action within SLA
seller,S00965,56.71427995619273,High,seller_quality,audit seller operations,Seller Operations,7,5173.89,-3687.0,11378.08,10595.13,10143.755643995351,seller_scorecard + order_profitability_features,85,open,assign owner and execute recommended action within SLA
seller,S00304,56.5974599634479,High,seller_quality,audit seller operations,Seller Operations,7,16867.79,-12538.73,45553.73,41785.19,40522.16906982114,seller_scorecard + order_profitability_features,86,open,assign owner and execute recommended action within SLA
seller,S00108,56.59557616467619,High,seller_quality,audit seller operations,Seller Operations,7,10469.45,-7265.0199999999995,32472.9,30052.35,29118.551925094835,seller_scorecard + order_profitability_features,87,open,assign owner and execute recommended action within SLA
seller,S00114,56.56321787479226,High,seller_quality,audit seller operations,Seller Operations,7,5901.320000000001,-3773.4500000000003,15144.68,14171.05,13504.233455312122,seller_scorecard + order_profitability_features,88,open,assign owner and execute recommended action within SLA
seller,S01184,56.415231058709445,High,seller_quality,audit seller operations,Seller Operations,7,8798.960000000001,-6176.86,23507.74,21758.55,20900.33911187969,seller_scorecard + order_profitability_features,89,open,assign owner and execute recommended action within SLA
seller,S00524,56.385486808669015,High,seller_quality,audit seller operations,Seller Operations,7,30883.199999999997,-19012.74,85612.67,79471.8,76213.11091458169,seller_scorecard + order_profitability_features,90,open,assign owner and execute recommended action within SLA
seller,S00484,56.34783875802605,High,seller_quality,audit seller operations,Seller Operations,7,3255.9300000000003,-2267.4300000000003,8112.33,7423.06,7133.505044405629,seller_scorecard + order_profitability_features,91,open,assign owner and execute recommended action within SLA
seller,S00379,56.24826541336069,High,concentration_risk,investigate dispute cluster,Marketplace Governance,7,52119.0,-34948.54,177671.77,165133.93,159693.96074370237,seller_scorecard + order_profitability_features,92,open,assign owner and execute recommended action within SLA
seller,S00446,56.20588043327168,High,seller_quality,audit seller operations,Seller Operations,7,3493.49,-2020.8,10729.39,9941.21,9527.456438820001,seller_scorecard + order_profitability_features,93,open,assign owner and execute recommended action within SLA
seller,S00897,56.1344727133196,High,seller_quality,audit seller operations,Seller Operations,7,3284.41,-1832.5099999999998,11289.62,10367.74,9992.565265793684,seller_scorecard + order_profitability_features,94,open,assign owner and execute recommended action within SLA
seller,S00964,56.09121958620767,High,seller_quality,audit seller operations,Seller Operations,7,19755.879999999997,-11636.41,59543.7,55398.52,53470.98982801088,seller_scorecard + order_profitability_features,95,open,assign owner and execute recommended action within SLA
seller,S00510,55.965078988959895,High,seller_quality,audit seller operations,Seller Operations,7,3517.46,-2075.4500000000003,10878.38,9969.52,9548.565639645361,seller_scorecard + order_profitability_features,96,open,assign owner and execute recommended action within SLA
seller,S00899,55.96389000176169,High,seller_quality,audit seller operations,Seller Operations,7,6055.27,-3854.49,18069.56,16610.87,16010.713888090086,seller_scorecard + order_profitability_features,97,open,assign owner and execute recommended action within SLA
seller,S00997,55.768993443750794,High,concentration_risk,investigate dispute cluster,Marketplace Governance,7,45081.189999999995,-26581.0,158365.98,148054.15,142413.79474247154,seller_scorecard + order_profitability_features,98,open,assign owner and execute recommended action within SLA
seller,S00126,55.74248173298095,High,concentration_risk,investigate dispute cluster,Marketplace Governance,7,18355.920000000002,-8849.33,67462.82,62779.840000000004,60030.57129212734,seller_scorecard + order_profitability_features,99,open,assign owner and execute recommended action within SLA
seller,S01177,55.739225141956254,High,seller_quality,audit seller operations,Seller Operations,7,14698.03,-9834.95,47261.69,43824.7,42391.13528817346,seller_scorecard + order_profitability_features,100,open,assign owner and execute recommended action within SLA
seller,S01081,55.61719309637306,High,seller_quality,audit seller operations,Seller Operations,7,9475.890000000001,-6125.01,23526.04,21935.01,21048.80116088755,seller_scorecard + order_profitability_features,101,open,assign owner and execute recommended action within SLA
seller,S00462,55.560647103023626,High,seller_quality,audit seller operations,Seller Operations,7,9089.93,-5531.070000000001,25891.920000000002,24034.72,22925.71215461286,seller_scorecard + order_profitability_features,102,open,assign owner and execute recommended action within SLA
seller,S00975,55.47520370061271,High,seller_quality,audit seller operations,Seller Operations,7,7079.55,-4233.45,22042.7,20307.25,19614.603363946302,seller_scorecard + order_profitability_features,103,open,assign owner and execute recommended action within SLA
seller,S00226,55.459670385920475,High,seller_quality,audit seller operations,Seller Operations,7,3591.21,-2289.52,10257.45,9371.05,8962.242889866666,seller_scorecard + order_profitability_features,104,open,assign owner and execute recommended action within SLA
seller,S00863,55.45405606196208,High,concentration_risk,investigate dispute cluster,Marketplace Governance,7,49788.12,-35033.93,171730.85,159688.22,155365.0663938642,seller_scorecard + order_profitability_features,105,open,assign owner and execute recommended action within SLA
seller,S00881,55.45298585695103,High,concentration_risk,investigate dispute cluster,Marketplace Governance,7,130613.38,-91942.8,451761.49,411274.21,398807.7788366588,seller_scorecard + order_profitability_features,106,open,assign owner and execute recommended action within SLA
seller,S00891,55.40788942862002,High,seller_quality,audit seller operations,Seller Operations,7,5075.25,-3394.99,12439.65,11538.78,11149.343198791694,seller_scorecard + order_profitability_features,107,open,assign owner and execute recommended action within SLA
seller,S01164,55.33381735953921,High,concentration_risk,investigate dispute cluster,Marketplace Governance,7,347127.19,-245464.26,1161810.24,1060427.4,1030028.864479677,seller_scorecard + order_profitability_features,108,open,assign owner and execute recommended action within SLA
seller,S00345,55.2664200553522,High,seller_quality,audit seller operations,Seller Operations,7,5924.110000000001,-3539.11,18074.43,16464.67,15766.833393667463,seller_scorecard + order_profitability_features,109,open,assign owner and execute recommended action within SLA
seller,S01144,55.26492413269081,High,seller_quality,audit seller operations,Seller Operations,7,3069.15,-2367.54,5113.6,4721.03,4483.068902627003,seller_scorecard + order_profitability_features,110,open,assign owner and execute recommended action within SLA
seller,S00985,55.21468146363701,High,seller_quality,audit seller operations,Seller Operations,7,3200.05,-2266.11,8389.54,7576.12,7272.833842251066,seller_scorecard + order_profitability_features,111,open,assign owner and execute recommended action within SLA
seller,S00100,55.13952550931034,High,seller_quality,audit seller operations,Seller Operations,7,5486.139999999999,-2950.31,17886.15,16520.7,15788.073336357074,seller_scorecard + order_profitability_features,112,open,assign owner and execute recommended action within SLA
seller,S01167,55.13249984326473,High,seller_quality,audit seller operations,Seller Operations,7,6103.8099999999995,-4083.48,14019.92,13041.44,12431.990583045226,seller_scorecard + order_profitability_features,113,open,assign owner and execute recommended action within SLA
seller,S00365,55.128330332894926,High,concentration_risk,investigate dispute cluster,Marketplace Governance,7,40417.68,-30382.79,129586.14,119936.83,117099.04981874414,seller_scorecard + order_profitability_features,114,open,assign owner and execute recommended action within SLA
seller,S00515,54.948612537215126,Moderate,seller_quality,seller coaching required,Seller Operations,14,2769.96,-1689.5,7926.13,7260.37,6925.952860685152,seller_scorecard + order_profitability_features,115,open,assign owner and execute recommended action within SLA
seller,S00771,54.89584655116115,Moderate,seller_quality,seller coaching required,Seller Operations,14,3844.1800000000003,-2552.06,10370.47,9651.72,9267.028366070123,seller_scorecard + order_profitability_features,116,open,assign owner and execute recommended action within SLA
seller,S00780,54.845278336856154,Moderate,seller_quality,seller coaching required,Seller Operations,14,6781.18,-4298.21,22378.41,20392.78,19619.27218713537,seller_scorecard + order_profitability_features,117,open,assign owner and execute recommended action within SLA
seller,S00769,54.81140614959285,Moderate,seller_quality,seller coaching required,Seller Operations,14,1742.5299999999997,-1161.93,4670.85,4217.01,4040.830701631887,seller_scorecard + order_profitability_features,118,open,assign owner and execute recommended action within SLA
seller,S00795,54.73710844641758,Moderate,concentration_risk,seller coaching required,Marketplace Governance,14,32192.250000000004,-19379.97,121281.22,112498.98,108591.34928502892,seller_scorecard + order_profitability_features,119,open,assign owner and execute recommended action within SLA
seller,S00664,54.711499167703295,Moderate,seller_quality,seller coaching required,Seller Operations,14,5771.7300000000005,-3432.89,16583.29,15228.7,14660.763521670295,seller_scorecard + order_profitability_features,120,open,assign owner and execute recommended action within SLA
seller,S00014,54.6829413215745,Moderate,seller_quality,seller coaching required,Seller Operations,14,1560.81,-1063.57,3975.48,3688.1,3515.4388852896595,seller_scorecard + order_profitability_features,121,open,assign owner and execute recommended action within SLA
seller,S00713,54.68199418170972,Moderate,seller_quality,seller coaching required,Seller Operations,14,5886.18,-3532.9,22071.31,20310.98,19606.586945026855,seller_scorecard + order_profitability_features,122,open,assign owner and execute recommended action within SLA
seller,S00231,54.66713031482974,Moderate,seller_quality,seller coaching required,Seller Operations,14,5730.469999999999,-3962.89,15809.62,14667.17,14190.688593587594,seller_scorecard + order_profitability_features,123,open,assign owner and execute recommended action within SLA
seller,S00136,54.66692571948427,Moderate,seller_quality,seller coaching required,Seller Operations,14,8888.62,-5790.68,31647.76,29227.64,28435.018574043275,seller_scorecard + order_profitability_features,124,open,assign owner and execute recommended action within SLA
seller,S00139,54.644398203172734,Moderate,seller_quality,seller coaching required,Seller Operations,14,2390.21,-1672.4899999999998,5233.79,4912.72,4685.470677781344,seller_scorecard + order_profitability_features,125,open,assign owner and execute recommended action within SLA
seller,S00737,54.62068396476974,Moderate,seller_quality,seller coaching required,Seller Operations,14,5340.57,-3453.93,13769.18,12917.3,12344.429144936144,seller_scorecard + order_profitability_features,126,open,assign owner and execute recommended action within SLA
seller,S00576,54.56052209195295,Moderate,seller_quality,seller coaching required,Seller Operations,14,17731.46,-11533.28,51453.76,48149.03,46142.156240905795,seller_scorecard + order_profitability_features,127,open,assign owner and execute recommended action within SLA
seller,S00925,54.495339077675254,Moderate,seller_quality,seller coaching required,Seller Operations,14,2203.4800000000005,-1456.09,6105.69,5673.85,5445.017418113196,seller_scorecard + order_profitability_features,128,open,assign owner and execute recommended action within SLA
seller,S00152,54.48198194688639,Moderate,seller_quality,seller coaching required,Seller Operations,14,3696.75,-2171.98,11500.3,10563.51,10114.59377816547,seller_scorecard + order_profitability_features,129,open,assign owner and execute recommended action within SLA
