seller_id,current_period,quality_inputs,fraud_inputs,profitability_inputs,operational_inputs,concentration_inputs
S00011,2026-02,"{""cancellation_rate"": 0.025, ""on_time_rate"": 0.2, ""refund_rate"": 0.05, ""repeat_buyer_rate"": 0.0}","{""chargeback_rate"": 0.125, ""dispute_rate"": 0.2, ""high_risk_buyer_share"": 0.0}","{""avg_margin_after_risk"": 2.148342, ""margin_rate"": 0.023792, ""promo_dependency_rate"": 0.036745}","{""avg_delay_days"": 2.15, ""cancellation_rate"": 0.025, ""delayed_order_rate"": 0.325}","{""gmv_rank_percentile"": 0.438333, ""gmv_share"": 0.000318, ""order_share"": 0.000615, ""top_decile_volume"": 0.0}"
S00012,2026-02,"{""cancellation_rate"": 0.227273, ""on_time_rate"": 0.181818, ""refund_rate"": 0.136364, ""repeat_buyer_rate"": 0.0}","{""chargeback_rate"": 0.090909, ""dispute_rate"": 0.045455, ""high_risk_buyer_share"": 0.0}","{""avg_margin_after_risk"": 3.394807, ""margin_rate"": 0.025141, ""promo_dependency_rate"": 0.043148}","{""avg_delay_days"": 1.636364, ""cancellation_rate"": 0.227273, ""delayed_order_rate"": 0.227273}","{""gmv_rank_percentile"": 0.374167, ""gmv_share"": 0.000262, ""order_share"": 0.000338, ""top_decile_volume"": 0.0}"
S00013,2026-02,"{""cancellation_rate"": 0.1, ""on_time_rate"": 0.3, ""refund_rate"": 0.0, ""repeat_buyer_rate"": 0.0}","{""chargeback_rate"": 0.0, ""dispute_rate"": 0.3, ""high_risk_buyer_share"": 0.0}","{""avg_margin_after_risk"": 4.019437, ""margin_rate"": 0.025006, ""promo_dependency_rate"": 0.023504}","{""avg_delay_days"": 1.9, ""cancellation_rate"": 0.1, ""delayed_order_rate"": 0.4}","{""gmv_rank_percentile"": 0.1825, ""gmv_share"": 0.000142, ""order_share"": 0.000154, ""top_decile_volume"": 0.0}"
S00014,2026-02,"{""cancellation_rate"": 0.266667, ""on_time_rate"": 0.0, ""refund_rate"": 0.4, ""repeat_buyer_rate"": 0.066667}","{""chargeback_rate"": 0.133333, ""dispute_rate"": 0.266667, ""high_risk_buyer_share"": 0.0}","{""avg_margin_after_risk"": 4.254263, ""margin_rate"": 0.045634, ""promo_dependency_rate"": 0.031243}","{""avg_delay_days"": 2.933333, ""cancellation_rate"": 0.266667, ""delayed_order_rate"": 0.733333}","{""gmv_rank_percentile"": 0.149167, ""gmv_share"": 0.000123, ""order_share"": 0.000231, ""top_decile_volume"": 0.0}"
S00015,2026-02,"{""cancellation_rate"": 0.111111, ""on_time_rate"": 0.0, ""refund_rate"": 0.305556, ""repeat_buyer_rate"": 0.027778}","{""chargeback_rate"": 0.055556, ""dispute_rate"": 0.111111, ""high_risk_buyer_share"": 0.0}","{""avg_margin_after_risk"": -0.249141, ""margin_rate"": -0.00287, ""promo_dependency_rate"": 0.060176}","{""avg_delay_days"": 4.194444, ""cancellation_rate"": 0.111111, ""delayed_order_rate"": 0.888889}","{""gmv_rank_percentile"": 0.389167, ""gmv_share"": 0.000275, ""order_share"": 0.000554, ""top_decile_volume"": 0.0}"
S00016,2026-02,"{""cancellation_rate"": 0.157143, ""on_time_rate"": 0.0, ""refund_rate"": 0.271429, ""repeat_buyer_rate"": 0.028571}","{""chargeback_rate"": 0.057143, ""dispute_rate"": 0.185714, ""high_risk_buyer_share"": 0.0}","{""avg_margin_after_risk"": -0.634327, ""margin_rate"": -0.005285, ""promo_dependency_rate"": 0.054256}","{""avg_delay_days"": 3.971429, ""cancellation_rate"": 0.157143, ""delayed_order_rate"": 0.842857}","{""gmv_rank_percentile"": 0.7525, ""gmv_share"": 0.00074, ""order_share"": 0.001077, ""top_decile_volume"": 0.0}"
S00017,2026-02,"{""cancellation_rate"": 0.086957, ""on_time_rate"": 0.543478, ""refund_rate"": 0.130435, ""repeat_buyer_rate"": 0.021739}","{""chargeback_rate"": 0.0, ""dispute_rate"": 0.086957, ""high_risk_buyer_share"": 0.0}","{""avg_margin_after_risk"": 5.302053, ""margin_rate"": 0.049995, ""promo_dependency_rate"": 0.022719}","{""avg_delay_days"": 1.23913, ""cancellation_rate"": 0.086957, ""delayed_order_rate"": 0.021739}","{""gmv_rank_percentile"": 0.545833, ""gmv_share"": 0.00043, ""order_share"": 0.000707, ""top_decile_volume"": 0.0}"
S00018,2026-02,"{""cancellation_rate"": 0.055556, ""on_time_rate"": 0.555556, ""refund_rate"": 0.055556, ""repeat_buyer_rate"": 0.0}","{""chargeback_rate"": 0.111111, ""dispute_rate"": 0.0, ""high_risk_buyer_share"": 0.0}","{""avg_margin_after_risk"": 7.418637, ""margin_rate"": 0.069859, ""promo_dependency_rate"": 0.009888}","{""avg_delay_days"": 1.444444, ""cancellation_rate"": 0.055556, ""delayed_order_rate"": 0.166667}","{""gmv_rank_percentile"": 0.2275, ""gmv_share"": 0.000168, ""order_share"": 0.000277, ""top_decile_volume"": 0.0}"
S00019,2026-02,"{""cancellation_rate"": 0.085714, ""on_time_rate"": 0.285714, ""refund_rate"": 0.171429, ""repeat_buyer_rate"": 0.0}","{""chargeback_rate"": 0.0, ""dispute_rate"": 0.171429, ""high_risk_buyer_share"": 0.0}","{""avg_margin_after_risk"": 3.066712, ""margin_rate"": 0.039869, ""promo_dependency_rate"": 0.02797}","{""avg_delay_days"": 1.771429, ""cancellation_rate"": 0.085714, ""delayed_order_rate"": 0.257143}","{""gmv_rank_percentile"": 0.591667, ""gmv_share"": 0.000474, ""order_share"": 0.001077, ""top_decile_volume"": 0.0}"
S00020,2026-02,"{""cancellation_rate"": 0.181818, ""on_time_rate"": 0.0, ""refund_rate"": 0.272727, ""repeat_buyer_rate"": 0.0}","{""chargeback_rate"": 0.0, ""dispute_rate"": 0.0, ""high_risk_buyer_share"": 0.0}","{""avg_margin_after_risk"": 12.903892, ""margin_rate"": 0.061419, ""promo_dependency_rate"": 0.022548}","{""avg_delay_days"": 3.454545, ""cancellation_rate"": 0.181818, ""delayed_order_rate"": 0.818182}","{""gmv_rank_percentile"": 0.2925, ""gmv_share"": 0.000204, ""order_share"": 0.000169, ""top_decile_volume"": 0.0}"
S00021,2026-02,"{""cancellation_rate"": 0.130435, ""on_time_rate"": 0.231884, ""refund_rate"": 0.202899, ""repeat_buyer_rate"": 0.028986}","{""chargeback_rate"": 0.043478, ""dispute_rate"": 0.15942, ""high_risk_buyer_share"": 0.0}","{""avg_margin_after_risk"": 0.267871, ""margin_rate"": 0.003061, ""promo_dependency_rate"": 0.038367}","{""avg_delay_days"": 1.652174, ""cancellation_rate"": 0.130435, ""delayed_order_rate"": 0.15942}","{""gmv_rank_percentile"": 0.631667, ""gmv_share"": 0.000532, ""order_share"": 0.001061, ""top_decile_volume"": 0.0}"
S00022,2026-02,"{""cancellation_rate"": 0.079545, ""on_time_rate"": 0.170455, ""refund_rate"": 0.159091, ""repeat_buyer_rate"": 0.056818}","{""chargeback_rate"": 0.022727, ""dispute_rate"": 0.079545, ""high_risk_buyer_share"": 0.0}","{""avg_margin_after_risk"": 6.795199, ""margin_rate"": 0.04566, ""promo_dependency_rate"": 0.021335}","{""avg_delay_days"": 2.079545, ""cancellation_rate"": 0.079545, ""delayed_order_rate"": 0.352273}","{""gmv_rank_percentile"": 0.848333, ""gmv_share"": 0.001153, ""order_share"": 0.001353, ""top_decile_volume"": 0.0}"
S00023,2026-02,"{""cancellation_rate"": 0.0625, ""on_time_rate"": 0.0625, ""refund_rate"": 0.125, ""repeat_buyer_rate"": 0.0}","{""chargeback_rate"": 0.041667, ""dispute_rate"": 0.0625, ""high_risk_buyer_share"": 0.0}","{""avg_margin_after_risk"": 0.818981, ""margin_rate"": 0.017187, ""promo_dependency_rate"": 0.02718}","{""avg_delay_days"": 2.229167, ""cancellation_rate"": 0.0625, ""delayed_order_rate"": 0.395833}","{""gmv_rank_percentile"": 0.289167, ""gmv_share"": 0.000201, ""order_share"": 0.000738, ""top_decile_volume"": 0.0}"
S00024,2026-02,"{""cancellation_rate"": 0.3125, ""on_time_rate"": 0.0625, ""refund_rate"": 0.125, ""repeat_buyer_rate"": 0.0}","{""chargeback_rate"": 0.0625, ""dispute_rate"": 0.1875, ""high_risk_buyer_share"": 0.0}","{""avg_margin_after_risk"": 16.233382, ""margin_rate"": 0.041467, ""promo_dependency_rate"": 0.028326}","{""avg_delay_days"": 1.625, ""cancellation_rate"": 0.3125, ""delayed_order_rate"": 0.25}","{""gmv_rank_percentile"": 0.655, ""gmv_share"": 0.000552, ""order_share"": 0.000246, ""top_decile_volume"": 0.0}"
S00025,2026-02,"{""cancellation_rate"": 0.142857, ""on_time_rate"": 0.142857, ""refund_rate"": 0.214286, ""repeat_buyer_rate"": 0.0}","{""chargeback_rate"": 0.214286, ""dispute_rate"": 0.142857, ""high_risk_buyer_share"": 0.0}","{""avg_margin_after_risk"": 7.357384, ""margin_rate"": 0.063056, ""promo_dependency_rate"": 0.021702}","{""avg_delay_days"": 1.857143, ""cancellation_rate"": 0.142857, ""delayed_order_rate"": 0.285714}","{""gmv_rank_percentile"": 0.1875, ""gmv_share"": 0.000144, ""order_share"": 0.000215, ""top_decile_volume"": 0.0}"
S00026,2026-02,"{""cancellation_rate"": 0.055556, ""on_time_rate"": 0.333333, ""refund_rate"": 0.111111, ""repeat_buyer_rate"": 0.0}","{""chargeback_rate"": 0.055556, ""dispute_rate"": 0.055556, ""high_risk_buyer_share"": 0.0}","{""avg_margin_after_risk"": -0.156637, ""margin_rate"": -0.001993, ""promo_dependency_rate"": 0.043622}","{""avg_delay_days"": 1.666667, ""cancellation_rate"": 0.055556, ""delayed_order_rate"": 0.111111}","{""gmv_rank_percentile"": 0.150833, ""gmv_share"": 0.000125, ""order_share"": 0.000277, ""top_decile_volume"": 0.0}"
S00027,2026-02,"{""cancellation_rate"": 0.103896, ""on_time_rate"": 0.155844, ""refund_rate"": 0.142857, ""repeat_buyer_rate"": 0.012987}","{""chargeback_rate"": 0.038961, ""dispute_rate"": 0.090909, ""high_risk_buyer_share"": 0.0}","{""avg_margin_after_risk"": 1.062647, ""margin_rate"": 0.016547, ""promo_dependency_rate"": 0.04579}","{""avg_delay_days"": 1.935065, ""cancellation_rate"": 0.103896, ""delayed_order_rate"": 0.25974}","{""gmv_rank_percentile"": 0.5525, ""gmv_share"": 0.000435, ""order_share"": 0.001184, ""top_decile_volume"": 0.0}"
S00028,2026-02,"{""cancellation_rate"": 0.156863, ""on_time_rate"": 0.039216, ""refund_rate"": 0.137255, ""repeat_buyer_rate"": 0.0}","{""chargeback_rate"": 0.0, ""dispute_rate"": 0.176471, ""high_risk_buyer_share"": 0.0}","{""avg_margin_after_risk"": -1.118488, ""margin_rate"": -0.022826, ""promo_dependency_rate"": 0.049312}","{""avg_delay_days"": 2.039216, ""cancellation_rate"": 0.156863, ""delayed_order_rate"": 0.352941}","{""gmv_rank_percentile"": 0.315, ""gmv_share"": 0.00022, ""order_share"": 0.000784, ""top_decile_volume"": 0.0}"
S00029,2026-02,"{""cancellation_rate"": 0.142857, ""on_time_rate"": 0.285714, ""refund_rate"": 0.285714, ""repeat_buyer_rate"": 0.0}","{""chargeback_rate"": 0.0, ""dispute_rate"": 0.071429, ""high_risk_buyer_share"": 0.0}","{""avg_margin_after_risk"": 9.279452, ""margin_rate"": 0.021093, ""promo_dependency_rate"": 0.050538}","{""avg_delay_days"": 1.642857, ""cancellation_rate"": 0.142857, ""delayed_order_rate"": 0.214286}","{""gmv_rank_percentile"": 0.6425, ""gmv_share"": 0.000542, ""order_share"": 0.000215, ""top_decile_volume"": 0.0}"
S00030,2026-02,"{""cancellation_rate"": 0.166667, ""on_time_rate"": 0.033333, ""refund_rate"": 0.133333, ""repeat_buyer_rate"": 0.033333}","{""chargeback_rate"": 0.033333, ""dispute_rate"": 0.133333, ""high_risk_buyer_share"": 0.0}","{""avg_margin_after_risk"": -1.068826, ""margin_rate"": -0.028835, ""promo_dependency_rate"": 0.058929}","{""avg_delay_days"": 2.066667, ""cancellation_rate"": 0.166667, ""delayed_order_rate"": 0.4}","{""gmv_rank_percentile"": 0.104167, ""gmv_share"": 9.8e-05, ""order_share"": 0.000461, ""top_decile_volume"": 0.0}"
S00031,2026-02,"{""cancellation_rate"": 0.454545, ""on_time_rate"": 0.0, ""refund_rate"": 0.181818, ""repeat_buyer_rate"": 0.0}","{""chargeback_rate"": 0.0, ""dispute_rate"": 0.0, ""high_risk_buyer_share"": 0.0}","{""avg_margin_after_risk"": 5.959741, ""margin_rate"": 0.056675, ""promo_dependency_rate"": 0.021293}","{""avg_delay_days"": 1.363636, ""cancellation_rate"": 0.454545, ""delayed_order_rate"": 0.272727}","{""gmv_rank_percentile"": 0.108333, ""gmv_share"": 0.000102, ""order_share"": 0.000169, ""top_decile_volume"": 0.0}"
S00032,2026-02,"{""cancellation_rate"": 0.0, ""on_time_rate"": 0.4375, ""refund_rate"": 0.125, ""repeat_buyer_rate"": 0.0}","{""chargeback_rate"": 0.125, ""dispute_rate"": 0.125, ""high_risk_buyer_share"": 0.0}","{""avg_margin_after_risk"": 4.699908, ""margin_rate"": 0.033016, ""promo_dependency_rate"": 0.032542}","{""avg_delay_days"": 1.8125, ""cancellation_rate"": 0.0, ""delayed_order_rate"": 0.25}","{""gmv_rank_percentile"": 0.2875, ""gmv_share"": 0.000201, ""order_share"": 0.000246, ""top_decile_volume"": 0.0}"
S00033,2026-02,"{""cancellation_rate"": 0.1, ""on_time_rate"": 0.35, ""refund_rate"": 0.4, ""repeat_buyer_rate"": 0.0}","{""chargeback_rate"": 0.1, ""dispute_rate"": 0.2, ""high_risk_buyer_share"": 0.0}","{""avg_margin_after_risk"": 4.338466, ""margin_rate"": 0.025208, ""promo_dependency_rate"": 0.036147}","{""avg_delay_days"": 1.7, ""cancellation_rate"": 0.1, ""delayed_order_rate"": 0.25}","{""gmv_rank_percentile"": 0.4175, ""gmv_share"": 0.000303, ""order_share"": 0.000308, ""top_decile_volume"": 0.0}"
S00034,2026-02,"{""cancellation_rate"": 0.0, ""on_time_rate"": 0.666667, ""refund_rate"": 0.0, ""repeat_buyer_rate"": 0.0}","{""chargeback_rate"": 0.0, ""dispute_rate"": 0.0, ""high_risk_buyer_share"": 0.0}","{""avg_margin_after_risk"": -4.223399, ""margin_rate"": -0.09192, ""promo_dependency_rate"": 0.119196}","{""avg_delay_days"": 1.333333, ""cancellation_rate"": 0.0, ""delayed_order_rate"": 0.0}","{""gmv_rank_percentile"": 0.003333, ""gmv_share"": 1.2e-05, ""order_share"": 4.6e-05, ""top_decile_volume"": 0.0}"
S00035,2026-02,"{""cancellation_rate"": 0.0, ""on_time_rate"": 0.0, ""refund_rate"": 0.142857, ""repeat_buyer_rate"": 0.0}","{""chargeback_rate"": 0.0, ""dispute_rate"": 0.142857, ""high_risk_buyer_share"": 0.0}","{""avg_margin_after_risk"": 9.138151, ""margin_rate"": 0.057701, ""promo_dependency_rate"": 0.020864}","{""avg_delay_days"": 5.142857, ""cancellation_rate"": 0.0, ""delayed_order_rate"": 1.0}","{""gmv_rank_percentile"": 0.1025, ""gmv_share"": 9.8e-05, ""order_share"": 0.000108, ""top_decile_volume"": 0.0}"
S00036,2026-02,"{""cancellation_rate"": 0.272727, ""on_time_rate"": 0.0, ""refund_rate"": 0.181818, ""repeat_buyer_rate"": 0.0}","{""chargeback_rate"": 0.181818, ""dispute_rate"": 0.090909, ""high_risk_buyer_share"": 0.0}","{""avg_margin_after_risk"": -2.419797, ""margin_rate"": -0.021989, ""promo_dependency_rate"": 0.072569}","{""avg_delay_days"": 3.5, ""cancellation_rate"": 0.272727, ""delayed_order_rate"": 0.727273}","{""gmv_rank_percentile"": 0.305, ""gmv_share"": 0.000213, ""order_share"": 0.000338, ""top_decile_volume"": 0.0}"
S00037,2026-02,"{""cancellation_rate"": 0.217391, ""on_time_rate"": 0.086957, ""refund_rate"": 0.26087, ""repeat_buyer_rate"": 0.0}","{""chargeback_rate"": 0.130435, ""dispute_rate"": 0.173913, ""high_risk_buyer_share"": 0.0}","{""avg_margin_after_risk"": 3.100165, ""margin_rate"": 0.026996, ""promo_dependency_rate"": 0.041371}","{""avg_delay_days"": 1.826087, ""cancellation_rate"": 0.217391, ""delayed_order_rate"": 0.347826}","{""gmv_rank_percentile"": 0.335833, ""gmv_share"": 0.000233, ""order_share"": 0.000354, ""top_decile_volume"": 0.0}"
S00038,2026-02,"{""cancellation_rate"": 0.0, ""on_time_rate"": 0.0, ""refund_rate"": 0.0, ""repeat_buyer_rate"": 0.0}","{""chargeback_rate"": 0.333333, ""dispute_rate"": 0.0, ""high_risk_buyer_share"": 0.0}","{""avg_margin_after_risk"": 3.675904, ""margin_rate"": 0.027191, ""promo_dependency_rate"": 0.033854}","{""avg_delay_days"": 5.0, ""cancellation_rate"": 0.0, ""delayed_order_rate"": 1.0}","{""gmv_rank_percentile"": 0.0225, ""gmv_share"": 3.6e-05, ""order_share"": 4.6e-05, ""top_decile_volume"": 0.0}"
S00039,2026-02,"{""cancellation_rate"": 0.285714, ""on_time_rate"": 0.357143, ""refund_rate"": 0.0, ""repeat_buyer_rate"": 0.0}","{""chargeback_rate"": 0.0, ""dispute_rate"": 0.142857, ""high_risk_buyer_share"": 0.0}","{""avg_margin_after_risk"": 8.743793, ""margin_rate"": 0.062766, ""promo_dependency_rate"": 0.012526}","{""avg_delay_days"": 1.071429, ""cancellation_rate"": 0.285714, ""delayed_order_rate"": 0.0}","{""gmv_rank_percentile"": 0.235833, ""gmv_share"": 0.000172, ""order_share"": 0.000215, ""top_decile_volume"": 0.0}"
S00040,2026-02,"{""cancellation_rate"": 0.12, ""on_time_rate"": 0.12, ""refund_rate"": 0.16, ""repeat_buyer_rate"": 0.0}","{""chargeback_rate"": 0.04, ""dispute_rate"": 0.04, ""high_risk_buyer_share"": 0.0}","{""avg_margin_after_risk"": 4.748233, ""margin_rate"": 0.023497, ""promo_dependency_rate"": 0.047232}","{""avg_delay_days"": 1.92, ""cancellation_rate"": 0.12, ""delayed_order_rate"": 0.28}","{""gmv_rank_percentile"": 0.56, ""gmv_share"": 0.000445, ""order_share"": 0.000384, ""top_decile_volume"": 0.0}"
S00041,2026-02,"{""cancellation_rate"": 0.030303, ""on_time_rate"": 0.393939, ""refund_rate"": 0.181818, ""repeat_buyer_rate"": 0.0}","{""chargeback_rate"": 0.181818, ""dispute_rate"": 0.121212, ""high_risk_buyer_share"": 0.0}","{""avg_margin_after_risk"": 3.790678, ""margin_rate"": 0.034799, ""promo_dependency_rate"": 0.027318}","{""avg_delay_days"": 1.575758, ""cancellation_rate"": 0.030303, ""delayed_order_rate"": 0.030303}","{""gmv_rank_percentile"": 0.433333, ""gmv_share"": 0.000317, ""order_share"": 0.000508, ""top_decile_volume"": 0.0}"
S00042,2026-02,"{""cancellation_rate"": 0.043478, ""on_time_rate"": 0.565217, ""refund_rate"": 0.130435, ""repeat_buyer_rate"": 0.0}","{""chargeback_rate"": 0.043478, ""dispute_rate"": 0.086957, ""high_risk_buyer_share"": 0.0}","{""avg_margin_after_risk"": 4.895234, ""margin_rate"": 0.040185, ""promo_dependency_rate"": 0.041566}","{""avg_delay_days"": 1.26087, ""cancellation_rate"": 0.043478, ""delayed_order_rate"": 0.0}","{""gmv_rank_percentile"": 0.353333, ""gmv_share"": 0.000247, ""order_share"": 0.000354, ""top_decile_volume"": 0.0}"
S00043,2026-02,"{""cancellation_rate"": 0.130435, ""on_time_rate"": 0.0, ""refund_rate"": 0.26087, ""repeat_buyer_rate"": 0.0}","{""chargeback_rate"": 0.043478, ""dispute_rate"": 0.130435, ""high_risk_buyer_share"": 0.0}","{""avg_margin_after_risk"": 2.221613, ""margin_rate"": 0.028071, ""promo_dependency_rate"": 0.034072}","{""avg_delay_days"": 2.26087, ""cancellation_rate"": 0.130435, ""delayed_order_rate"": 0.391304}","{""gmv_rank_percentile"": 0.2125, ""gmv_share"": 0.00016, ""order_share"": 0.000354, ""top_decile_volume"": 0.0}"
S00044,2026-02,"{""cancellation_rate"": 0.125, ""on_time_rate"": 0.056818, ""refund_rate"": 0.215909, ""repeat_buyer_rate"": 0.068182}","{""chargeback_rate"": 0.039773, ""dispute_rate"": 0.147727, ""high_risk_buyer_share"": 0.0}","{""avg_margin_after_risk"": -0.398614, ""margin_rate"": -0.006907, ""promo_dependency_rate"": 0.046054}","{""avg_delay_days"": 2.244318, ""cancellation_rate"": 0.125, ""delayed_order_rate"": 0.4375}","{""gmv_rank_percentile"": 0.801667, ""gmv_share"": 0.000895, ""order_share"": 0.002707, ""top_decile_volume"": 0.0}"
S00045,2026-02,"{""cancellation_rate"": 0.081633, ""on_time_rate"": 0.265306, ""refund_rate"": 0.122449, ""repeat_buyer_rate"": 0.0}","{""chargeback_rate"": 0.020408, ""dispute_rate"": 0.142857, ""high_risk_buyer_share"": 0.0}","{""avg_margin_after_risk"": 1.627087, ""margin_rate"": 0.020098, ""promo_dependency_rate"": 0.048788}","{""avg_delay_days"": 1.734694, ""cancellation_rate"": 0.081633, ""delayed_order_rate"": 0.163265}","{""gmv_rank_percentile"": 0.479167, ""gmv_share"": 0.000349, ""order_share"": 0.000754, ""top_decile_volume"": 0.0}"
