seller_id,current_period,margin_fragility_score,margin_fragility_tier,main_risk_driver,recommended_action
S00058,2026-02,26.66757328198293,Low,negative_margin_share,monitor only
S00059,2026-02,45.72724004391901,Moderate,refund_value_risk,reduce subsidy exposure
S00060,2026-02,33.921961711875305,Moderate,negative_margin_share,reduce subsidy exposure
S00061,2026-02,46.626182159370025,Moderate,negative_margin_share,reduce subsidy exposure
S00062,2026-02,21.65576916291429,Low,negative_margin_share,monitor only
S00063,2026-02,26.63621028143372,Low,negative_margin_share,monitor only
S00064,2026-02,57.27384308981174,High,negative_margin_share,reduce subsidy exposure
S00065,2026-02,26.46508901582399,Low,negative_margin_share,monitor only
S00066,2026-02,16.888359892010016,Low,refund_value_risk,monitor only
S00067,2026-02,48.362407695243164,Moderate,negative_margin_share,reduce subsidy exposure
S00068,2026-02,28.209115536651492,Low,negative_margin_share,monitor only
S00069,2026-02,48.757626524598614,Moderate,negative_margin_share,reduce subsidy exposure
S00070,2026-02,36.08135230314144,Moderate,negative_margin_share,reduce subsidy exposure
S00071,2026-02,39.49152185254806,Moderate,subsidy_dependency,reduce subsidy exposure
S00072,2026-02,25.412208612925504,Low,negative_margin_share,monitor only
S00073,2026-02,31.58890924577109,Moderate,negative_margin_share,reduce subsidy exposure
S00074,2026-02,30.173915067746737,Moderate,negative_margin_share,reduce subsidy exposure
S00075,2026-02,57.36712652049426,High,negative_margin_share,reduce subsidy exposure
S00076,2026-02,41.84001993629553,Moderate,negative_margin_share,reduce subsidy exposure
S00077,2026-02,44.85383566782224,Moderate,negative_margin_share,reduce subsidy exposure
S00078,2026-02,25.431867477933917,Low,negative_margin_share,monitor only
S00079,2026-02,50.92101655877204,Moderate,refund_value_risk,reduce subsidy exposure
S00080,2026-02,54.65172674640566,Moderate,negative_margin_share,reduce subsidy exposure
S00081,2026-02,36.498909632661125,Moderate,negative_margin_share,reduce subsidy exposure
S00082,2026-02,20.616348175161697,Low,negative_margin_share,monitor only
S00083,2026-02,28.54581627530308,Low,negative_margin_share,monitor only
S00084,2026-02,44.360919922458265,Moderate,negative_margin_share,reduce subsidy exposure
S00085,2026-02,30.6766610589768,Moderate,refund_value_risk,reduce subsidy exposure
S00086,2026-02,41.1951643772496,Moderate,refund_value_risk,reduce subsidy exposure
S00087,2026-02,30.996894398898466,Moderate,negative_margin_share,reduce subsidy exposure
S00088,2026-02,30.860401161227337,Moderate,negative_margin_share,reduce subsidy exposure
S00089,2026-02,47.14365843978501,Moderate,negative_margin_share,reduce subsidy exposure
S00090,2026-02,33.828783306795806,Moderate,negative_margin_share,reduce subsidy exposure
S00091,2026-02,47.29144855607167,Moderate,negative_margin_share,reduce subsidy exposure
S00092,2026-02,27.232016491993154,Low,refund_value_risk,monitor only
S00093,2026-02,48.36611489025349,Moderate,refund_value_risk,reduce subsidy exposure
S00094,2026-02,40.415492844776765,Moderate,negative_margin_share,reduce subsidy exposure
S00095,2026-02,37.77855672535316,Moderate,refund_value_risk,reduce subsidy exposure
S00096,2026-02,29.50889605168747,Low,negative_margin_share,monitor only
S00097,2026-02,35.45203722771225,Moderate,negative_margin_share,reduce subsidy exposure
S00098,2026-02,42.89222998555645,Moderate,negative_margin_share,reduce subsidy exposure
S00099,2026-02,32.868383526457656,Moderate,negative_margin_share,reduce subsidy exposure
S00100,2026-02,31.01260996310232,Moderate,refund_value_risk,reduce subsidy exposure
S00101,2026-02,43.93752176416884,Moderate,negative_margin_share,reduce subsidy exposure
S00102,2026-02,45.42832715661858,Moderate,negative_margin_share,reduce subsidy exposure
S00103,2026-02,53.9744669269305,Moderate,negative_margin_share,reduce subsidy exposure
S00104,2026-02,32.351968234063875,Moderate,negative_margin_share,reduce subsidy exposure
S00105,2026-02,32.16283500207799,Moderate,negative_margin_share,reduce subsidy exposure
S00106,2026-02,41.41257518180972,Moderate,negative_margin_share,reduce subsidy exposure
S00107,2026-02,34.53137009027436,Moderate,negative_margin_share,reduce subsidy exposure
S00108,2026-02,43.40848534223544,Moderate,negative_margin_share,reduce subsidy exposure
S00109,2026-02,24.2289506560788,Low,negative_margin_share,monitor only
S00110,2026-02,27.58708920771975,Low,negative_margin_share,monitor only
S00111,2026-02,30.679716559646565,Moderate,negative_margin_share,reduce subsidy exposure
S00112,2026-02,22.86804065220496,Low,negative_margin_share,monitor only
S00113,2026-02,41.996541679283496,Moderate,negative_margin_share,reduce subsidy exposure
S00114,2026-02,36.07321506787024,Moderate,refund_value_risk,reduce subsidy exposure
S00115,2026-02,44.52137652278705,Moderate,negative_margin_share,reduce subsidy exposure
S00116,2026-02,33.874916542482325,Moderate,negative_margin_share,reduce subsidy exposure
S00117,2026-02,38.65369501747256,Moderate,negative_margin_share,reduce subsidy exposure
S00118,2026-02,44.79473679203918,Moderate,negative_margin_share,reduce subsidy exposure
S00119,2026-02,45.63203265408261,Moderate,negative_margin_share,reduce subsidy exposure
S00120,2026-02,52.636858666041974,Moderate,negative_margin_share,reduce subsidy exposure
S00121,2026-02,27.52372696325211,Low,negative_margin_share,monitor only
S00122,2026-02,34.703773232347416,Moderate,negative_margin_share,reduce subsidy exposure
S00123,2026-02,37.360249556821316,Moderate,negative_margin_share,reduce subsidy exposure
S00124,2026-02,29.799318131528462,Low,refund_value_risk,monitor only
S00125,2026-02,40.74479713413243,Moderate,negative_margin_share,reduce subsidy exposure
S00126,2026-02,30.5534748610747,Moderate,negative_margin_share,reduce subsidy exposure
S00127,2026-02,31.194877255528066,Moderate,negative_margin_share,reduce subsidy exposure
S00128,2026-02,24.640938751671147,Low,refund_value_risk,monitor only
S00129,2026-02,50.55471442703724,Moderate,negative_margin_share,reduce subsidy exposure
S00130,2026-02,46.13399665865953,Moderate,negative_margin_share,reduce subsidy exposure
S00131,2026-02,26.221320074422767,Low,negative_margin_share,monitor only
S00132,2026-02,28.899429047107333,Low,negative_margin_share,monitor only
S00133,2026-02,34.6278614682661,Moderate,negative_margin_share,reduce subsidy exposure
S00134,2026-02,7.806103920443372,Low,refund_value_risk,monitor only
S00135,2026-02,31.43449330414266,Moderate,negative_margin_share,reduce subsidy exposure
S00136,2026-02,48.46912128345039,Moderate,negative_margin_share,reduce subsidy exposure
S00137,2026-02,56.57089909527833,High,refund_value_risk,reduce subsidy exposure
S00138,2026-02,34.06492388683773,Moderate,negative_margin_share,reduce subsidy exposure
S00139,2026-02,32.81885022297029,Moderate,refund_value_risk,reduce subsidy exposure
S00140,2026-02,38.084006393934196,Moderate,negative_margin_share,reduce subsidy exposure
S00141,2026-02,29.099316806490396,Low,negative_margin_share,monitor only
S00142,2026-02,19.63230241787909,Low,dispute_value_risk,monitor only
S00143,2026-02,55.263213183615086,High,refund_value_risk,reduce subsidy exposure
S00144,2026-02,39.38986653699268,Moderate,refund_value_risk,reduce subsidy exposure
S00145,2026-02,42.272905293227126,Moderate,negative_margin_share,reduce subsidy exposure
S00146,2026-02,51.407326437085665,Moderate,negative_margin_share,reduce subsidy exposure
S00147,2026-02,19.372402679291415,Low,dispute_value_risk,monitor only
S00148,2026-02,18.951677816576254,Low,negative_margin_share,monitor only
S00149,2026-02,33.75224289638436,Moderate,refund_value_risk,reduce subsidy exposure
S00150,2026-02,40.02085052613998,Moderate,subsidy_dependency,reduce subsidy exposure
S00151,2026-02,51.85441510492035,Moderate,negative_margin_share,reduce subsidy exposure
S00152,2026-02,39.879518795787305,Moderate,negative_margin_share,reduce subsidy exposure
S00153,2026-02,17.48546750855985,Low,refund_value_risk,monitor only
S00154,2026-02,24.45680628272251,Low,refund_value_risk,monitor only
S00155,2026-02,19.790561478759738,Low,refund_value_risk,monitor only
S00156,2026-02,31.058451556104536,Moderate,negative_margin_share,reduce subsidy exposure
S00157,2026-02,35.57700897893928,Moderate,negative_margin_share,reduce subsidy exposure
S00158,2026-02,36.34655951192647,Moderate,negative_margin_share,reduce subsidy exposure
S00159,2026-02,43.69006555962987,Moderate,negative_margin_share,reduce subsidy exposure
S00160,2026-02,45.71845569942274,Moderate,negative_margin_share,reduce subsidy exposure
S00161,2026-02,45.54754349846334,Moderate,negative_margin_share,reduce subsidy exposure
S00162,2026-02,41.99135071405165,Moderate,negative_margin_share,reduce subsidy exposure
S00163,2026-02,65.88107203215718,High,negative_margin_share,reduce subsidy exposure
S00164,2026-02,37.99806185491835,Moderate,negative_margin_share,reduce subsidy exposure
S00165,2026-02,34.519180754556494,Moderate,negative_margin_share,reduce subsidy exposure
S00166,2026-02,27.792562461576594,Low,refund_value_risk,monitor only
S00167,2026-02,28.034810112541983,Low,negative_margin_share,monitor only
S00168,2026-02,59.43275435811158,High,negative_margin_share,reduce subsidy exposure
S00169,2026-02,55.00861710220936,High,negative_margin_share,reduce subsidy exposure
S00170,2026-02,69.99122255641818,High,negative_margin_share,reduce subsidy exposure
S00171,2026-02,26.94687959616679,Low,refund_value_risk,monitor only
S00172,2026-02,37.18998946864712,Moderate,negative_margin_share,reduce subsidy exposure
S00173,2026-02,24.650557101341356,Low,refund_value_risk,monitor only
S00174,2026-02,39.98907628405123,Moderate,negative_margin_share,reduce subsidy exposure
S00175,2026-02,26.582529479009754,Low,negative_margin_share,monitor only
S00176,2026-02,11.52757607402464,Low,negative_margin_share,monitor only
S00177,2026-02,39.73959486738674,Moderate,negative_margin_share,reduce subsidy exposure
S00178,2026-02,38.52143719345082,Moderate,negative_margin_share,reduce subsidy exposure
S00179,2026-02,32.28777798167671,Moderate,refund_value_risk,reduce subsidy exposure
S00180,2026-02,40.663448216213055,Moderate,negative_margin_share,reduce subsidy exposure
S00181,2026-02,35.65694292987592,Moderate,negative_margin_share,reduce subsidy exposure
S00182,2026-02,42.293515669171754,Moderate,negative_margin_share,reduce subsidy exposure
S00183,2026-02,30.47404474985147,Moderate,negative_margin_share,reduce subsidy exposure
S00184,2026-02,38.554561832535285,Moderate,negative_margin_share,reduce subsidy exposure
S00185,2026-02,53.82172965789674,Moderate,negative_margin_share,reduce subsidy exposure
S00186,2026-02,35.5613398120802,Moderate,negative_margin_share,reduce subsidy exposure
S00187,2026-02,32.44013902028389,Moderate,negative_margin_share,reduce subsidy exposure
S00188,2026-02,33.07292980762057,Moderate,negative_margin_share,reduce subsidy exposure
S00189,2026-02,31.153757628096514,Moderate,negative_margin_share,reduce subsidy exposure
S00190,2026-02,32.53743063876141,Moderate,negative_margin_share,reduce subsidy exposure
S00191,2026-02,30.438880265512292,Moderate,refund_value_risk,reduce subsidy exposure
S00192,2026-02,22.346792901159453,Low,negative_margin_share,monitor only
S00193,2026-02,53.35071567511015,Moderate,negative_margin_share,reduce subsidy exposure
S00194,2026-02,31.430121414554662,Moderate,dispute_value_risk,reduce subsidy exposure
S00195,2026-02,44.77107387030771,Moderate,negative_margin_share,reduce subsidy exposure
S00196,2026-02,36.538421651293746,Moderate,negative_margin_share,reduce subsidy exposure
S00197,2026-02,52.26646974763615,Moderate,negative_margin_share,reduce subsidy exposure
S00198,2026-02,32.45390525921217,Moderate,negative_margin_share,reduce subsidy exposure
S00199,2026-02,15.447767164471776,Low,refund_value_risk,monitor only
S00200,2026-02,45.027361100471644,Moderate,negative_margin_share,reduce subsidy exposure
S00201,2026-02,33.33734689512207,Moderate,negative_margin_share,reduce subsidy exposure
S00202,2026-02,57.388123296059405,High,negative_margin_share,reduce subsidy exposure
S00203,2026-02,45.55483781439321,Moderate,negative_margin_share,reduce subsidy exposure
S00204,2026-02,35.671413441515895,Moderate,negative_margin_share,reduce subsidy exposure
S00205,2026-02,48.11745781056521,Moderate,negative_margin_share,reduce subsidy exposure
S00206,2026-02,37.55040172277251,Moderate,negative_margin_share,reduce subsidy exposure
S00207,2026-02,32.65779634328545,Moderate,refund_value_risk,reduce subsidy exposure
S00208,2026-02,43.68022161315967,Moderate,negative_margin_share,reduce subsidy exposure
S00209,2026-02,39.612925440961206,Moderate,refund_value_risk,reduce subsidy exposure
S00210,2026-02,47.10361101465922,Moderate,refund_value_risk,reduce subsidy exposure
S00211,2026-02,32.071786418806255,Moderate,refund_value_risk,reduce subsidy exposure
S00212,2026-02,36.166738720742046,Moderate,negative_margin_share,reduce subsidy exposure
S00213,2026-02,44.79433774090356,Moderate,negative_margin_share,reduce subsidy exposure
S00214,2026-02,28.799538940817524,Low,negative_margin_share,monitor only
S00215,2026-02,43.82851438121256,Moderate,negative_margin_share,reduce subsidy exposure
S00216,2026-02,34.19578542974142,Moderate,refund_value_risk,reduce subsidy exposure
S00217,2026-02,27.627821630969294,Low,negative_margin_share,monitor only
S00218,2026-02,40.57186504708885,Moderate,refund_value_risk,reduce subsidy exposure
S00219,2026-02,51.10143198599731,Moderate,negative_margin_share,reduce subsidy exposure
S00220,2026-02,38.43294923665212,Moderate,negative_margin_share,reduce subsidy exposure
S00221,2026-02,44.173832812903626,Moderate,negative_margin_share,reduce subsidy exposure
S00222,2026-02,23.135406771933937,Low,negative_margin_share,monitor only
S00223,2026-02,29.95699614377382,Low,negative_margin_share,monitor only
S00224,2026-02,48.09865842339597,Moderate,negative_margin_share,reduce subsidy exposure
S00225,2026-02,2.962430229824974,Low,refund_value_risk,monitor only
S00226,2026-02,53.91696096760787,Moderate,negative_margin_share,reduce subsidy exposure
S00227,2026-02,29.34112821759255,Low,negative_margin_share,monitor only
S00228,2026-02,40.23995115671429,Moderate,negative_margin_share,reduce subsidy exposure
S00229,2026-02,60.32813923920244,High,negative_margin_share,reduce subsidy exposure
S00230,2026-02,28.31664973084614,Low,negative_margin_share,monitor only
S00231,2026-02,43.869987422901694,Moderate,refund_value_risk,reduce subsidy exposure
S00232,2026-02,51.07453712902032,Moderate,negative_margin_share,reduce subsidy exposure
S00233,2026-02,16.15999137871923,Low,negative_margin_share,monitor only
S00234,2026-02,35.669448063938965,Moderate,negative_margin_share,reduce subsidy exposure
S00235,2026-02,50.92058858239783,Moderate,negative_margin_share,reduce subsidy exposure
S00236,2026-02,25.027263266606145,Low,negative_margin_share,monitor only
S00237,2026-02,32.04962305901546,Moderate,negative_margin_share,reduce subsidy exposure
S00238,2026-02,41.38929496560551,Moderate,negative_margin_share,reduce subsidy exposure
S00239,2026-02,15.697738325608501,Low,refund_value_risk,monitor only
S00240,2026-02,34.06411026272795,Moderate,negative_margin_share,reduce subsidy exposure
S00241,2026-02,39.380124943389205,Moderate,negative_margin_share,reduce subsidy exposure
S00242,2026-02,39.617474587649724,Moderate,negative_margin_share,reduce subsidy exposure
S00243,2026-02,38.46920733320522,Moderate,negative_margin_share,reduce subsidy exposure
S00244,2026-02,43.29095340941385,Moderate,negative_margin_share,reduce subsidy exposure
S00245,2026-02,18.058662771243092,Low,refund_value_risk,monitor only
S00246,2026-02,44.30242722391138,Moderate,negative_margin_share,reduce subsidy exposure
S00247,2026-02,33.64435418410603,Moderate,refund_value_risk,reduce subsidy exposure
S00248,2026-02,17.366607270561268,Low,dispute_value_risk,monitor only
S00249,2026-02,40.2800485585667,Moderate,negative_margin_share,reduce subsidy exposure
S00250,2026-02,27.066335513237668,Low,negative_margin_share,monitor only
S00251,2026-02,43.73051223671477,Moderate,negative_margin_share,reduce subsidy exposure
S00252,2026-02,45.305580613426415,Moderate,negative_margin_share,reduce subsidy exposure
S00253,2026-02,40.49856756739204,Moderate,negative_margin_share,reduce subsidy exposure
S00254,2026-02,27.39238730449943,Low,dispute_value_risk,monitor only
S00255,2026-02,39.57608882323849,Moderate,refund_value_risk,reduce subsidy exposure
S00256,2026-02,26.428628819925112,Low,negative_margin_share,monitor only
S00257,2026-02,29.89519421468417,Low,refund_value_risk,monitor only
S00258,2026-02,15.539333005498072,Low,refund_value_risk,monitor only
S00259,2026-02,35.500600814098725,Moderate,negative_margin_share,reduce subsidy exposure
S00260,2026-02,42.95537041932209,Moderate,negative_margin_share,reduce subsidy exposure
S00261,2026-02,39.951044473897426,Moderate,negative_margin_share,reduce subsidy exposure
S00262,2026-02,37.528769824262625,Moderate,negative_margin_share,reduce subsidy exposure
S00263,2026-02,18.68802753554202,Low,negative_margin_share,monitor only
S00264,2026-02,32.657611378741336,Moderate,refund_value_risk,reduce subsidy exposure
S00265,2026-02,51.53002571427047,Moderate,refund_value_risk,reduce subsidy exposure
S00266,2026-02,31.527664992694792,Moderate,negative_margin_share,reduce subsidy exposure
S00267,2026-02,45.31225831508335,Moderate,negative_margin_share,reduce subsidy exposure
S00268,2026-02,21.88809012057403,Low,negative_margin_share,monitor only
S00269,2026-02,46.9330599560289,Moderate,negative_margin_share,reduce subsidy exposure
S00270,2026-02,46.29693589360417,Moderate,negative_margin_share,reduce subsidy exposure
S00271,2026-02,42.73289754626713,Moderate,negative_margin_share,reduce subsidy exposure
S00272,2026-02,40.643967580111564,Moderate,negative_margin_share,reduce subsidy exposure
S00273,2026-02,27.47852165489533,Low,refund_value_risk,monitor only
S00274,2026-02,42.83346483940736,Moderate,refund_value_risk,reduce subsidy exposure
S00275,2026-02,42.608525559766946,Moderate,negative_margin_share,reduce subsidy exposure
S00276,2026-02,32.23087567694942,Moderate,negative_margin_share,reduce subsidy exposure
S00277,2026-02,22.65555725234347,Low,refund_value_risk,monitor only
S00278,2026-02,42.61570935612224,Moderate,refund_value_risk,reduce subsidy exposure
S00279,2026-02,35.405329765077525,Moderate,negative_margin_share,reduce subsidy exposure
S00280,2026-02,39.945693162069446,Moderate,negative_margin_share,reduce subsidy exposure
S00281,2026-02,43.21582745888431,Moderate,negative_margin_share,reduce subsidy exposure
S00282,2026-02,37.748966210624864,Moderate,negative_margin_share,reduce subsidy exposure
S00283,2026-02,38.21737669006695,Moderate,refund_value_risk,reduce subsidy exposure
S00284,2026-02,31.050214657521195,Moderate,negative_margin_share,reduce subsidy exposure
S00285,2026-02,34.72522539325841,Moderate,negative_margin_share,reduce subsidy exposure
S00286,2026-02,35.983990374247206,Moderate,negative_margin_share,reduce subsidy exposure
S00287,2026-02,26.089696803629188,Low,dispute_value_risk,monitor only
S00288,2026-02,34.24942077508292,Moderate,negative_margin_share,reduce subsidy exposure
S00289,2026-02,23.50842565328048,Low,negative_margin_share,monitor only
S00290,2026-02,38.523432307674625,Moderate,negative_margin_share,reduce subsidy exposure
S00291,2026-02,32.10698980940318,Moderate,negative_margin_share,reduce subsidy exposure
S00292,2026-02,37.597155313643725,Moderate,negative_margin_share,reduce subsidy exposure
S00293,2026-02,41.40943780821389,Moderate,negative_margin_share,reduce subsidy exposure
S00294,2026-02,30.43115964743024,Moderate,negative_margin_share,reduce subsidy exposure
S00295,2026-02,48.623257011116266,Moderate,negative_margin_share,reduce subsidy exposure
S00296,2026-02,44.93518206039942,Moderate,negative_margin_share,reduce subsidy exposure
S00297,2026-02,29.85673356166277,Low,negative_margin_share,monitor only
S00298,2026-02,34.01248837506208,Moderate,negative_margin_share,reduce subsidy exposure
S00299,2026-02,48.00469348697723,Moderate,negative_margin_share,reduce subsidy exposure
S00300,2026-02,34.57222296764081,Moderate,negative_margin_share,reduce subsidy exposure
S00301,2026-02,36.661082112455574,Moderate,negative_margin_share,reduce subsidy exposure
S00302,2026-02,8.455093491366098,Low,dispute_value_risk,monitor only
S00303,2026-02,37.63029017874203,Moderate,negative_margin_share,reduce subsidy exposure
S00304,2026-02,46.45433848878191,Moderate,negative_margin_share,reduce subsidy exposure
S00305,2026-02,27.883770914230176,Low,negative_margin_share,monitor only
S00306,2026-02,42.381997085095065,Moderate,negative_margin_share,reduce subsidy exposure
S00307,2026-02,22.055537502594376,Low,negative_margin_share,monitor only
S00308,2026-02,38.67359587078583,Moderate,negative_margin_share,reduce subsidy exposure
S00309,2026-02,67.10000310415198,High,negative_margin_share,reduce subsidy exposure
S00310,2026-02,50.6497660347014,Moderate,negative_margin_share,reduce subsidy exposure
S00311,2026-02,34.735835995168344,Moderate,negative_margin_share,reduce subsidy exposure
S00312,2026-02,45.87883348645936,Moderate,refund_value_risk,reduce subsidy exposure
S00313,2026-02,45.444380307531766,Moderate,negative_margin_share,reduce subsidy exposure
S00314,2026-02,22.95465264092143,Low,dispute_value_risk,monitor only
S00315,2026-02,39.96303845490528,Moderate,negative_margin_share,reduce subsidy exposure
S00316,2026-02,33.07218606761995,Moderate,negative_margin_share,reduce subsidy exposure
S00317,2026-02,30.82991656889393,Moderate,refund_value_risk,reduce subsidy exposure
S00318,2026-02,48.255054582702286,Moderate,negative_margin_share,reduce subsidy exposure
S00319,2026-02,20.565303733068873,Low,negative_margin_share,monitor only
S00320,2026-02,33.38946504187699,Moderate,refund_value_risk,reduce subsidy exposure
S00321,2026-02,32.09240141455734,Moderate,negative_margin_share,reduce subsidy exposure
S00322,2026-02,37.205369376087916,Moderate,negative_margin_share,reduce subsidy exposure
S00323,2026-02,20.889913067921896,Low,negative_margin_share,monitor only
S00324,2026-02,26.699258512046665,Low,negative_margin_share,monitor only
S00325,2026-02,33.597801283433924,Moderate,negative_margin_share,reduce subsidy exposure
S00326,2026-02,32.706384091307456,Moderate,refund_value_risk,reduce subsidy exposure
S00327,2026-02,36.79589844910832,Moderate,negative_margin_share,reduce subsidy exposure
S00328,2026-02,36.94269448426587,Moderate,negative_margin_share,reduce subsidy exposure
S00329,2026-02,46.2085416173092,Moderate,negative_margin_share,reduce subsidy exposure
S00330,2026-02,36.72106549330178,Moderate,negative_margin_share,reduce subsidy exposure
S00331,2026-02,56.67691191528689,High,negative_margin_share,reduce subsidy exposure
S00332,2026-02,39.38654766560365,Moderate,negative_margin_share,reduce subsidy exposure
S00333,2026-02,23.084138212073093,Low,dispute_value_risk,monitor only
S00334,2026-02,42.76527060088482,Moderate,negative_margin_share,reduce subsidy exposure
S00335,2026-02,25.58321941222939,Low,refund_value_risk,monitor only
S00336,2026-02,32.71777041806847,Moderate,negative_margin_share,reduce subsidy exposure
S00337,2026-02,32.290380052965816,Moderate,negative_margin_share,reduce subsidy exposure
S00338,2026-02,33.161758100868596,Moderate,negative_margin_share,reduce subsidy exposure
S00339,2026-02,35.415006246713745,Moderate,negative_margin_share,reduce subsidy exposure
S00340,2026-02,25.117138632456623,Low,negative_margin_share,monitor only
S00341,2026-02,14.217998277051821,Low,negative_margin_share,monitor only
S00342,2026-02,41.29134670895749,Moderate,dispute_value_risk,reduce subsidy exposure
S00343,2026-02,30.632974255166786,Moderate,refund_value_risk,reduce subsidy exposure
S00344,2026-02,32.21158761740814,Moderate,negative_margin_share,reduce subsidy exposure
S00345,2026-02,45.325699545208494,Moderate,negative_margin_share,reduce subsidy exposure
S00346,2026-02,43.616104020679906,Moderate,negative_margin_share,reduce subsidy exposure
S00347,2026-02,33.240387769306565,Moderate,negative_margin_share,reduce subsidy exposure
S00348,2026-02,41.04276825144017,Moderate,negative_margin_share,reduce subsidy exposure
S00349,2026-02,15.899836390973796,Low,refund_value_risk,monitor only
S00350,2026-02,49.52155594779467,Moderate,negative_margin_share,reduce subsidy exposure
S00351,2026-02,33.479646679867656,Moderate,negative_margin_share,reduce subsidy exposure
S00352,2026-02,27.74717734562248,Low,negative_margin_share,monitor only
S00353,2026-02,26.45675131379704,Low,subsidy_dependency,monitor only
S00354,2026-02,27.580946533606458,Low,negative_margin_share,monitor only
S00355,2026-02,17.47850656915125,Low,negative_margin_share,monitor only
S00356,2026-02,58.251740701171165,High,negative_margin_share,reduce subsidy exposure
S00357,2026-02,39.500960243088834,Moderate,negative_margin_share,reduce subsidy exposure
S00358,2026-02,43.8984766160098,Moderate,negative_margin_share,reduce subsidy exposure
